,all_skew_diff,1620_skew_diff,FIPS,county,state,Population(2010),Latitude,Longitude
2764,22.275000000000002,43.02,49031.0,PIUTE,UT,1556,38.33588,-112.12937
2755,22.955000000000002,41.68,49013.0,DUCHESNE,UT,18607,40.28964,-110.42983
2772,22.465,40.79,49047.0,UINTAH,UT,32588,40.12588,-109.51774
2769,21.884999999999998,40.65,49041.0,SEVIER,UT,20802,38.74682,-111.81193
2756,22.395,40.01,49015.0,EMERY,UT,10976,39.00902,-110.72111
2762,20.990000000000002,39.96,49027.0,MILLARD,UT,12503,39.09454,-113.52501
2765,22.505,38.46,49033.0,RICH,UT,2264,41.62759,-111.24022
2749,21.255,37.44,49001.0,BEAVER,UT,6629,38.35753,-113.23894
2760,20.75,36.48,49023.0,JUAB,UT,10246,39.71082,-112.79426
2768,19.545,36.28,49039.0,SANPETE,UT,27822,39.38058,-111.57045
1920,16.775,35.71,37115.0,MADISON,NC,20764,35.86408,-82.71273
1950,18.244999999999997,34.96,37175.0,TRANSYLVANIA,NC,33090,35.21009,-82.81669
2763,20.245,34.67,49029.0,MORGAN,UT,9469,41.09102,-111.57788
2750,19.51,34.28,49003.0,BOX ELDER,UT,49975,41.47602,-113.05292
128,16.61,33.93,5087.0,MADISON,AR,15717,36.01254,-93.72405
137,16.634999999999998,33.56,5105.0,PERRY,AR,10445,34.94636,-92.92687
92,16.305,33.54,5015.0,CARROLL,AR,27446,36.33777,-93.54166
1907,18.410000000000004,33.25,37089.0,HENDERSON,NC,106740,35.33642,-82.47963
1884,17.75,33.129999999999995,37043.0,CLAY,NC,10587,35.05299,-83.75226
1906,17.035,32.96,37087.0,HAYWOOD,NC,59036,35.55709,-82.9728
2122,19.94,32.58,40037.0,CREEK,OK,69967,35.90773,-96.37979
1170,18.810000000000002,32.57,24011.0,CAROLINE,MD,33066,38.87153,-75.83163
2163,18.2,32.53,40119.0,PAYNE,OK,77350,36.07922,-96.97525
2759,18.71,32.51,49021.0,IRON,UT,46163,37.88272,-113.29005
2165,19.965,32.339999999999996,40123.0,PONTOTOC,OK,37492,34.72107,-96.69273
1878,17.82,32.31,37031.0,CARTERET,NC,66469,34.85831,-76.52696
2160,19.375,31.96,40113.0,OSAGE,OK,47472,36.62468,-96.40838
2177,17.58,31.95,40147.0,WASHINGTON,OK,50976,36.70438,-95.90615
1918,16.36,31.939999999999998,37111.0,MCDOWELL,NC,44996,35.68223,-82.04802
1937,13.704999999999998,31.799999999999997,37149.0,POLK,NC,20510,35.27892,-82.16766
107,17.06,31.78,5045.0,FAULKNER,AR,113237,35.14635,-92.32465
2757,23.174999999999997,31.77,49017.0,GARFIELD,UT,5172,37.83162,-111.45088
2110,19.61,31.51,40013.0,BRYAN,OK,42416,33.964,-96.26413
153,16.900000000000002,31.450000000000003,5137.0,STONE,AR,12394,35.85698,-92.14049
88,16.880000000000003,31.439999999999998,5007.0,BENTON,AR,221339,36.33782,-94.25618
2753,16.85,31.13,49009.0,DAGGETT,UT,1059,40.89009,-109.50578
155,16.79,31.049999999999997,5141.0,VAN BUREN,AR,17295,35.58295,-92.51597
101,17.085,30.94,5033.0,CRAWFORD,AR,61948,35.58304,-94.23622
99,15.364999999999998,30.88,5029.0,CONWAY,AR,21273,35.2657,-92.68924
1913,17.025,30.85,37101.0,JOHNSTON,NC,168878,35.5134,-78.36726
1931,17.085,30.82,37137.0,PAMLICO,NC,13144,35.14746,-76.66506
2775,17.180000000000003,30.57,49053.0,WASHINGTON,UT,138115,37.26253,-113.4878
114,16.525,30.509999999999998,5059.0,HOT SPRING,AR,32923,34.31517,-92.94414
1868,15.845,30.43,37011.0,AVERY,NC,17797,36.07289,-81.92036
147,17.340000000000003,30.400000000000002,5125.0,SALINE,AR,107118,34.64852,-92.67446
1864,15.770000000000001,30.180000000000003,37003.0,ALEXANDER,NC,37198,35.92095,-81.17746
1889,18.185,30.18,37053.0,CURRITUCK,NC,23547,36.37217,-75.94122
1890,16.945,30.169999999999998,37055.0,DARE,NC,33920,35.60626,-75.76753
1952,18.32,30.09,37179.0,UNION,NC,201292,34.9915,-80.53013
109,15.419999999999998,30.04,5049.0,FULTON,AR,12245,36.38344,-91.81923
1962,12.735,30.0,37199.0,YANCEY,NC,17818,35.8895,-82.30398
110,14.940000000000001,29.900000000000002,5051.0,GARLAND,AR,96024,34.57886,-93.14691
1882,15.615,29.89,37039.0,CHEROKEE,NC,27444,35.13623,-84.0613
2176,18.125,29.84,40145.0,WAGONER,OK,73085,35.96347,-95.5141
1919,14.425,29.82,37113.0,MACON,NC,33922,35.15295,-83.4219
112,17.105,29.77,5055.0,GREENE,AR,42090,36.11992,-90.56524
126,16.035,29.66,5083.0,LOGAN,AR,22353,35.21855,-93.72056
111,17.84,29.63,5053.0,GRANT,AR,17853,34.28806,-92.42398
1917,16.085,29.63,37109.0,LINCOLN,NC,78265,35.48782,-81.22517
1892,15.240000000000002,29.58,37059.0,DAVIE,NC,41240,35.92935,-80.54254
87,15.504999999999999,29.47,5005.0,BAXTER,AR,41513,36.28071,-92.33043
1872,17.98,29.4,37019.0,BRUNSWICK,NC,107431,34.0387,-78.22768
375,17.189999999999998,29.4,13029.0,BRYAN,GA,30233,32.01796,-81.43854
96,15.495,29.34,5023.0,CLEBURNE,AR,25970,35.56628,-92.05997
2169,17.39,29.17,40131.0,ROGERS,OK,86905,36.37808,-95.60133
451,18.759999999999998,29.17,13183.0,LONG,GA,14464,31.74956,-81.74287
483,19.064999999999998,29.07,13249.0,SCHLEY,GA,5010,32.26344,-84.32272
2866,13.629999999999999,28.939999999999998,51157.0,RAPPAHANNOCK,VA,7373,38.68452,-78.16882
1874,14.954999999999998,28.93,37023.0,BURKE,NC,90912,35.74618,-81.70618
157,16.285,28.73,5145.0,WHITE,AR,77076,35.25472,-91.75315
150,15.364999999999998,28.52,5131.0,SEBASTIAN,AR,125744,35.19698,-94.27498
142,15.735000000000001,28.52,5115.0,POPE,AR,61754,35.45529,-93.03153
127,16.79,28.44,5085.0,LONOKE,AR,68356,34.75511,-91.89413
2179,18.25,28.430000000000003,40151.0,WOODS,OK,8878,36.76514,-98.86896
494,18.68,28.43,13271.0,TELFAIR,GA,16500,31.91363,-82.93106
1912,14.185,28.34,37099.0,JACKSON,NC,40271,35.28646,-83.13064
2162,16.650000000000002,28.220000000000002,40117.0,PAWNEE,OK,16577,36.3137,-96.69666
2773,22.779999999999998,28.18,49049.0,UTAH,UT,516564,40.1204,-111.66866
2708,12.35,28.16,48427.0,STARR,TX,60968,26.54633,-98.7158
2113,17.115000000000002,28.12,40019.0,CARTER,OK,47557,34.25184,-97.28792
2776,16.805,28.09,49055.0,WAYNE,UT,2778,38.26122,-110.99032
1880,13.964999999999998,28.009999999999998,37035.0,CATAWBA,NC,154358,35.66318,-81.21415
1938,14.610000000000001,27.93,37151.0,RANDOLPH,NC,141752,35.70991,-79.80621
1876,14.48,27.89,37027.0,CALDWELL,NC,83029,35.95785,-81.53007
2327,14.37,27.87,45077.0,PICKENS,SC,119224,34.88736,-82.72536
149,12.520000000000001,27.85,5129.0,SEARCY,AR,8195,35.90966,-92.69935
1867,14.49,27.84,37009.0,ASHE,NC,27281,36.4363,-81.49877
2164,17.46,27.76,40121.0,PITTSBURG,OK,45837,34.92554,-95.74813
1961,14.1,27.740000000000002,37197.0,YADKIN,NC,38406,36.15876,-80.66516
374,15.629999999999999,27.659999999999997,13027.0,BROOKS,GA,16243,30.83369,-83.58897
103,16.655,27.59,5037.0,CROSS,AR,17870,35.29125,-90.77389
462,16.455,27.580000000000002,13207.0,MONROE,GA,26424,33.01743,-83.92293
1911,14.91,27.58,37097.0,IREDELL,NC,159437,35.80635,-80.87454
108,15.33,27.57,5047.0,FRANKLIN,AR,18125,35.50857,-93.88767
2161,18.52,27.53,40115.0,OTTAWA,OK,31848,36.83576,-94.80268
448,15.645,27.509999999999998,13177.0,LEE,GA,28298,31.81841,-84.14668
2166,16.97,27.509999999999998,40125.0,POTTAWATOMIE,OK,69442,35.21139,-96.957
135,12.21,27.3,5101.0,NEWTON,AR,8330,35.91006,-93.21508
97,15.555,27.3,5025.0,CLEVELAND,AR,8689,33.8932,-92.18871
396,19.284999999999997,27.13,13073.0,COLUMBIA,GA,124053,33.55055,-82.25134
450,15.91,27.119999999999997,13181.0,LINCOLN,GA,7996,33.79215,-82.44829
1182,16.44,27.11,24035.0,QUEEN ANNE'S,MD,47798,39.04069,-76.0824
1929,15.55,27.080000000000002,37133.0,ONSLOW,NC,177772,34.76346,-77.50329
2155,16.240000000000002,27.060000000000002,40103.0,NOBLE,OK,11561,36.3849,-97.23633
1869,14.765,26.990000000000002,37013.0,BEAUFORT,NC,47759,35.48231,-76.84201
519,16.77,26.98,13321.0,WORTH,GA,21679,31.55177,-83.84996
100,15.530000000000001,26.97,5031.0,CRAIGHEAD,AR,96443,35.82826,-90.63041
2152,17.0,26.939999999999998,40097.0,MAYES,OK,41259,36.3038,-95.23563
1948,14.174999999999999,26.919999999999998,37171.0,SURRY,NC,73673,36.41541,-80.68646
2106,16.58,26.89,40005.0,ATOKA,OK,14182,34.37481,-96.0347
2171,15.919999999999998,26.779999999999998,40135.0,SEQUOYAH,OK,42391,35.50243,-94.75075
1943,14.629999999999999,26.75,37161.0,RUTHERFORD,NC,67810,35.40274,-81.91958
129,13.850000000000001,26.740000000000002,5089.0,MARION,AR,16653,36.26665,-92.67858
411,17.455,26.72,13103.0,EFFINGHAM,GA,52250,32.36171,-81.34333
2145,16.225,26.72,40083.0,LOGAN,OK,41848,35.91415,-97.45076
1887,14.29,26.65,37049.0,CRAVEN,NC,103505,35.11817,-77.08254
418,20.6,26.63,13117.0,FORSYTH,GA,175511,34.22514,-84.12733
1875,20.09,26.590000000000003,37025.0,CABARRUS,NC,178011,35.38784,-80.55286
2175,14.425,26.560000000000002,40143.0,TULSA,OK,603403,36.12012,-95.94173
1946,13.88,26.55,37167.0,STANLY,NC,60585,35.31052,-80.25435
1902,16.56,26.48,37079.0,GREENE,NC,21362,35.48193,-77.68166
2170,17.84,26.48,40133.0,SEMINOLE,OK,25482,35.15836,-96.60285
1177,15.545,26.47,24025.0,HARFORD,MD,244826,39.53742,-76.29978
2127,16.490000000000002,26.47,40047.0,GARFIELD,OK,60580,36.37827,-97.78772
133,13.805000000000001,26.450000000000003,5097.0,MONTGOMERY,AR,9487,34.54565,-93.66414
2112,15.41,26.45,40017.0,CANADIAN,OK,115541,35.54341,-97.97983
152,14.280000000000001,26.240000000000002,5135.0,SHARP,AR,17264,36.17339,-91.47106
2139,15.350000000000001,26.150000000000002,40071.0,KAY,OK,46562,36.81484,-97.14375
2144,16.78,26.12,40081.0,LINCOLN,OK,34273,35.70311,-96.88139
2124,16.14,26.11,40041.0,DELAWARE,OK,41487,36.39336,-94.8082
1925,13.334999999999999,25.99,37125.0,MOORE,NC,88247,35.31016,-79.48066
116,14.63,25.96,5063.0,INDEPENDENCE,AR,36647,35.73749,-91.55994
2142,17.13,25.93,40077.0,LATIMER,OK,11154,34.87513,-95.27226
1891,14.155,25.92,37057.0,DAVIDSON,NC,162878,35.79512,-80.20652
89,14.025,25.799999999999997,5009.0,BOONE,AR,36903,36.3043,-93.0792
1933,15.100000000000001,25.71,37141.0,PENDER,NC,52217,34.51258,-77.88802
1172,15.294999999999998,25.7,24015.0,CECIL,MD,101108,39.56235,-75.94158
1947,12.679999999999998,25.669999999999998,37169.0,STOKES,NC,47401,36.40419,-80.23927
1865,13.02,25.65,37005.0,ALLEGHANY,NC,11155,36.48935,-81.13229
1186,14.760000000000002,25.630000000000003,24043.0,WASHINGTON,MD,147430,39.60362,-77.81467
141,13.415000000000001,25.610000000000003,5113.0,POLK,AR,20662,34.49091,-94.23088
446,16.775,25.49,13173.0,LANIER,GA,10078,31.03819,-83.06316
143,13.809999999999999,25.47,5117.0,PRAIRIE,AR,8715,34.82822,-91.5572
2143,15.54,25.46,40079.0,LE FLORE,OK,50384,34.89964,-94.70349
2752,15.68,25.44,49007.0,CARBON,UT,21403,39.67005,-110.59035
117,16.055,25.36,5065.0,IZARD,AR,13696,36.09487,-91.91362
2761,20.369999999999997,25.35,49025.0,KANE,UT,7125,37.27511,-111.81541
2104,15.775,25.3,40001.0,ADAIR,OK,22683,35.8975,-94.65167
1188,16.66,25.28,24047.0,WORCESTER,MD,51454,38.22213,-75.30993
1877,16.195,25.28,37029.0,CAMDEN,NC,9980,36.34234,-76.16248
2314,15.129999999999999,25.259999999999998,45051.0,HORRY,SC,269291,33.90926,-78.97667
2180,16.955,25.179999999999996,40153.0,WOODWARD,OK,20081,36.42561,-99.27366
518,13.27,25.110000000000003,13319.0,WILKINSON,GA,9563,32.80432,-83.17558
1881,17.485,25.11,37037.0,CHATHAM,NC,63505,35.70499,-79.25145
1873,22.445,25.09,37021.0,BUNCOMBE,NC,238318,35.60937,-82.53042
1166,15.97,25.080000000000002,24001.0,ALLEGANY,MD,75087,39.6123,-78.7031
