,YEAR,STATEFIP,avg_inc,avg_age,avg_educ,avg_educd,sex,insurance,white,black,american_indian_or_alaska_native,chinese,japanese,other_asian_or_pacific_islander,other_race,two_major_races,three_or_more_major_races,married_spouse_present,married_spouse_absent,separated,divorced,widowed,single,NA,at_work,has_job_not_working,armed_forces_at_work,unemployed,not_in_labor_force,FIP
009,2015,12,260281.3,58.1,7.62,78.21,0.54,0.92,204300.0,24416.0,0.0,748.0,0.0,6811.0,2350.0,4072.0,1018.0,104991.0,8218.0,2230.0,59924.0,33607.0,34745.0,0.0,117541.0,1332.0,1662.0,2859.0,120321.0,12009
105,2015,12,615692.39,53.75,7.04,72.63,0.52,0.93,185209.0,33381.0,569.0,0.0,0.0,10089.0,0.0,4416.0,0.0,111257.0,8533.0,8997.0,37184.0,32514.0,35179.0,0.0,117722.0,1407.0,0.0,11797.0,102738.0,12105
011,2015,12,426704.82,53.81,7.48,77.03,0.53,0.9,457934.0,157952.0,0.0,3623.0,3069.0,7142.0,22770.0,13864.0,3203.0,258766.0,16438.0,36497.0,145152.0,69756.0,142948.0,1497.0,398557.0,10599.0,838.0,29284.0,228782.0,12011
103,2015,12,523227.99,56.18,7.74,79.77,0.46,0.91,382902.0,47094.0,2485.0,689.0,0.0,6977.0,2903.0,4297.0,0.0,173716.0,16812.0,20074.0,88065.0,54695.0,93985.0,704.0,259169.0,2874.0,1122.0,12680.0,170798.0,12103
021,2015,12,589538.52,59.93,7.65,78.87,0.49,0.89,109937.0,4625.0,0.0,0.0,0.0,1018.0,0.0,1317.0,0.0,46629.0,4820.0,1048.0,26438.0,19369.0,18593.0,0.0,50538.0,1677.0,0.0,1437.0,63245.0,12021
083,2015,12,996024.09,58.88,6.83,70.84,0.52,0.81,113792.0,15912.0,0.0,0.0,0.0,0.0,0.0,1183.0,0.0,68431.0,2830.0,6062.0,14221.0,25046.0,14297.0,1093.0,40481.0,0.0,0.0,5210.0,84103.0,12083
099,2015,12,308120.81,56.67,7.7,79.14,0.55,0.94,486484.0,79762.0,0.0,4417.0,0.0,4177.0,7829.0,3114.0,0.0,273372.0,22515.0,11061.0,93075.0,76612.0,109148.0,419.0,326580.0,4821.0,0.0,19207.0,234756.0,12099
095,2015,12,762599.91,47.0,7.7,79.3,0.56,0.88,319124.0,87107.0,1632.0,2620.0,674.0,14745.0,9057.0,10644.0,0.0,160253.0,15808.0,10912.0,55218.0,36662.0,166750.0,210.0,275055.0,3503.0,0.0,6107.0,160728.0,12095
081,2015,12,800917.99,57.07,7.51,77.6,0.56,0.85,127987.0,7650.0,0.0,1168.0,0.0,1647.0,5015.0,5135.0,0.0,57676.0,2845.0,1677.0,32738.0,29789.0,23877.0,0.0,61914.0,0.0,674.0,8204.0,77810.0,12081
000,2015,12,784869.38,52.99,7.05,72.89,0.45,0.81,1628620.0,299568.0,8922.0,12950.0,0.0,6840.0,34340.0,23037.0,1916.0,844885.0,71561.0,59594.0,390141.0,199039.0,450973.0,3443.0,1041767.0,14251.0,6332.0,59908.0,890492.0,12000
