,unnamed:_0,target_2016,fip,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip,FIPS,Total Areami²,percent_no_hs,pop_density,unemp_rate,uninsured_rate,total_agriculture_percentage,total_construction_percentage,total_manufacturing_percentage,total_wholesale_trade_percentage,total_retail_trade_percentage,transportation_warehousing_utilities_percentage,total_information_percentage,total_finance_and_real_estate_percentage,total_scientific_administrative_and_waste_management_services_percentage,total_educational_healthcare_and_social_assistance_percentage,total_arts_and_entertainment_percentage,total_other_services_percentage,total_public_administration_percentage,total_management_business_science_and_arts_occupations_percentage,total_service_occupations_percentage,total_sales_and_office_occupations_percentage,total_natural_resources_and_maintenance_occupations_percentage,"total_production,_transportation,_and_material_moving_occupations_percentage",percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
0,0,0,12001,6778,30.8,23418.0,126608,2991,18582,11852,251519,268,254218,12,1,12001,968.808,1.0743795639750238,262.4028703313763,0.07858113231391381,3713.8888888888887,0.00728232023252875,0.03302318968785543,0.03487141412864906,0.016760394287880703,0.10030961708580817,0.026048906862125618,0.015780993302161,0.049135915581953744,0.09105269809174776,0.3580895362062429,0.10715752559079995,0.041908884114747885,0.039997472513585236,0.42775338051307976,0.17639485656514597,0.21797200808795653,0.04576330089725768,0.05353532162264628,0.7212318587520609,0.20539100632659527,0.003138933331167618,0.0020709650697224905
1,1,1,12003,1478,36.6,25315.0,11171,448,1231,1565,24631,8,27135,12,3,12003,588.971,1.1834589002586304,46.071877902307584,0.08924894816936711,360.44444444444446,0.007429952555724644,0.08486259063646943,0.05917106794378301,0.028287530212156478,0.11467191836003938,0.07268821054516159,0.0085936800644526,0.04753379285650345,0.07841733058812998,0.23149225673619192,0.05272580789544356,0.04189419031420643,0.08298272312237043,0.26962671202220034,0.18556977889177334,0.21860173663951302,0.10464595828484469,0.1323068659923015,0.8385723277426043,0.14580325076826242,0.00144396312340331,0.0
2,2,1,12005,7953,39.8,24626.0,85250,3720,11370,13521,171019,71,175353,12,5,12005,1033.153,1.1200108428687603,169.72607154990595,0.08628739002932552,3179.0,0.00780058651026393,0.060656891495601176,0.05478005865102639,0.018639296187683285,0.12070381231671554,0.041888563049853375,0.01658651026392962,0.05347800586510264,0.10943108504398827,0.18714369501466277,0.1284926686217009,0.04248680351906158,0.07162463343108505,0.29500293255131965,0.2053841642228739,0.2281407624633431,0.09189442815249267,0.09329032258064517,0.8538929830182633,0.11203080684016281,0.005897919707596093,0.0006052191249243476
3,3,1,12007,984,39.6,24452.0,10529,843,1228,2237,23903,0,27223,12,7,12007,300.489,1.2346787014718703,90.59566240361545,0.12384841865324342,478.6666666666667,0.008547820305822015,0.06771773197834552,0.05992971792192991,0.008927723430525216,0.09697027258049197,0.04520847183968088,0.0026593218729224046,0.03894007028207807,0.07835501947003515,0.21834932092316459,0.06952227182068572,0.05005223667964669,0.13097160224142843,0.2876816411814987,0.19735967328331275,0.20011397093741096,0.09754012726754678,0.09345616867698738,0.7894087749458106,0.2039390088945362,0.0008595560206293445,0.00026160400627849614
4,4,1,12009,21338,46.6,25490.0,257738,9421,27855,42386,548302,757,553591,12,9,12009,1556.995,1.0934488332778045,355.5509169907418,0.108812049445561,8851.333333333334,0.003992426417524773,0.05271632432935772,0.09005268916496598,0.01793293965189456,0.12174766623470346,0.03613359302857941,0.015570075037441122,0.04412620568173882,0.11965639525409524,0.19448044137845408,0.09584151347492414,0.04579456657535947,0.05314311432540021,0.32657970497171546,0.17641946472774678,0.23108738331173517,0.07431189812910785,0.08278949941413373,0.8536685902720528,0.1056757499461539,0.003295752471350163,0.0009153836441552848
5,5,0,12011,72610,40.0,26472.0,990423,42882,129124,181842,1832097,9075,1843152,12,11,12011,1322.862,1.1178399113088935,1393.3063312726497,0.10038741022775118,39316.444444444445,0.001857792074699396,0.05463423204024947,0.04349252794008217,0.03327063285081223,0.12401973702145447,0.0473464368254776,0.021667509740787523,0.07288199082614197,0.12434989898255594,0.1872432283983712,0.0988022289466218,0.05159007817871758,0.0384562959462775,0.31816607651478207,0.17926078049479868,0.2557069050294672,0.07316671765498176,0.0733121100782191,0.644026626325778,0.2863111244539109,0.002480942333994211,0.00048435851234974705
6,6,1,12013,453,40.5,20733.0,5260,418,641,1498,12585,37,14615,12,13,12013,574.313,1.2475305055200465,25.44779588830481,0.09980988593155894,284.1111111111111,0.08384030418250951,0.07680608365019011,0.044866920152091254,0.027186311787072242,0.0844106463878327,0.030988593155893536,0.012357414448669201,0.0349809885931559,0.0408745247148289,0.20285171102661598,0.08422053231939164,0.04277566539923954,0.13403041825095058,0.22870722433460075,0.2581749049429658,0.18536121673003803,0.14182509505703422,0.08612167300380229,0.8325154234436343,0.13761918115535615,0.011918115535614133,0.0
7,7,1,12015,4284,57.3,22990.0,63570,3741,7397,13589,162538,330,165783,12,15,12015,858.301,1.1067208106698458,193.15251875507542,0.10759792354884379,2747.4444444444443,0.006009123800534843,0.07681296208903571,0.03791096429133239,0.015400346075192702,0.1617744218971213,0.03614912694667296,0.014613811546326884,0.05576529809658644,0.0970268994808872,0.18527607361963191,0.11658014786849143,0.04974044360547428,0.03934245713386818,0.2504797860626081,0.20852603429290545,0.26290703161868806,0.10309894604373132,0.06739027843322322,0.9217593246788354,0.05710002641813144,0.002211750539114194,3.071875748769714e-05
8,8,1,12017,4981,55.4,20966.0,50044,1717,5974,10247,137765,211,139654,12,17,12017,773.294,1.1336704677513074,180.59625446466674,0.13104468068100072,1993.111111111111,0.008112860682599313,0.06392374710254975,0.04082407481416354,0.013927743585644633,0.13316281672128527,0.059487650867236834,0.01115018783470546,0.04096395172248422,0.07561346015506354,0.22440252577731595,0.10105107505395253,0.0529933658380625,0.043341859163935736,0.24998001758452562,0.20933578450963153,0.21822795939573175,0.09187914635121093,0.09953241147789944,0.9469694216497918,0.030374833734309242,0.0036342227487807183,0.0
9,9,1,12019,9275,39.0,28397.0,96673,3093,8816,12635,194380,88,197417,12,19,12019,643.548,1.0967513586749684,306.7634426647274,0.10653439947037953,2727.1111111111113,0.0038790561997662223,0.06748523372606623,0.04517290246501091,0.026946510401042692,0.12028177464235101,0.06317172323192619,0.01605412059209914,0.07586399511756127,0.09271461524934574,0.19815253483392467,0.07830521448594747,0.04474879232050314,0.060689127264075805,0.299618300869943,0.16161699750705988,0.23918777735251828,0.09710053479254807,0.09594199000755123,0.8513830458561211,0.10136201093815735,0.0023506520824568785,0.0009307951198990324
10,10,1,12021,10541,48.5,26677.0,152970,8951,23264,34995,339234,1337,341091,12,21,12021,2305.015,1.1402324355373006,147.97777888647147,0.07755769105053278,7467.777777777777,0.0337844021703602,0.09263254232856116,0.031548669673792246,0.020252337059554162,0.12222658037523697,0.031117212525331766,0.013388246061319213,0.07501470876642478,0.11859188076093352,0.15637053016931424,0.14405438974962412,0.05799176309080212,0.02546904621821272,0.2741844806171145,0.22875727266784338,0.23341178008759889,0.11717983918415376,0.06890893639275675,0.8888572302012009,0.06914554191263983,0.0026949457894440043,4.748803153205294e-05
