,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Alameda County, California: Summary level: 050, state:06> county:001",3308,39861,80961,20969,75187,39042,24187,47611,133336,174656,70809,40358,27847,362591,126123,167052,50316,72050,1487408,708558,184883,9813,439055,13760,131339,37.1,1092189,25753,148,253,768,1936,4217,3130,4937,21621,4847,10795,14180,12027,14729,23248,34052,70100,848232,13753,68307,73763,1573351,2911,1584983,06,001
"Alpine County, California: Summary level: 050, state:06> county:003",0,24,15,0,49,38,6,6,73,63,54,22,58,152,83,73,42,58,1043,783,11,219,14,16,0,43.6,764,4,0,0,0,0,0,0,2,0,2,2,3,24,40,3,18482,49,457,19,84,116,1131,0,1131,06,003
"Amador County, California: Summary level: 050, state:06> county:005",195,820,568,165,1884,525,188,523,1158,2444,1926,657,1520,3882,2881,3180,1296,1334,35790,32006,855,829,538,38,1524,50.0,28676,304,0,0,5,31,9,12,49,247,143,289,306,439,1128,375,26246,2048,14621,259,603,1829,32880,0,36995,06,005
"Butte County, California: Summary level: 050, state:06> county:007",3249,4682,5355,1625,12125,2596,1620,4508,8744,25896,10400,4722,3889,30898,20843,21162,8158,8350,208443,185408,3189,2553,9591,405,7297,36.8,143094,2479,19,3,90,145,280,254,286,1329,306,1305,1656,2368,3399,3273,20668,12264,101675,3841,13194,12052,220313,177,222564,06,007
"Calaveras County, California: Summary level: 050, state:06> county:009",496,1662,1326,373,1819,922,201,661,1713,3591,1374,906,1204,5868,3078,3369,2009,1924,42952,41210,261,396,402,151,532,50.7,33649,296,0,0,0,0,21,13,12,253,102,309,212,374,609,611,26527,2227,18475,419,1725,2344,44382,10,44767,06,009
"Colusa County, California: Summary level: 050, state:06> county:011",2425,356,958,164,620,463,45,375,404,1212,1160,197,458,2184,1503,1591,2337,1222,20657,18188,151,231,419,39,1629,34.0,13296,336,0,12,93,95,169,124,248,1110,149,410,339,338,378,430,24889,1023,9860,267,1550,1924,21205,34,21396,06,011
"Contra Costa County, California: Summary level: 050, state:06> county:013",3956,35372,34989,12338,55008,24870,14268,46060,79942,111596,44613,25547,21361,218903,89404,120139,41997,39477,1028751,663406,97338,6059,167215,5548,89185,38.8,742043,11562,105,138,656,1439,2944,1986,2551,12297,2704,6487,9319,7396,8666,13914,35618,48995,558915,11694,43557,49787,1090556,1390,1096068,06,013
"Del Norte County, California: Summary level: 050, state:06> county:015",347,348,296,54,900,150,73,337,617,2511,1114,411,1454,2923,2713,1619,768,589,25371,21248,802,1484,600,79,1158,38.8,19572,229,8,0,91,52,59,68,28,382,92,317,482,551,956,608,19470,1116,9728,170,1020,1543,24021,39,27788,06,015
"El Dorado County, California: Summary level: 050, state:06> county:017",984,5873,6055,1367,9873,3188,1691,6024,9282,15667,10032,3816,5716,31974,15270,19801,6897,5626,175492,157893,1786,1565,7199,234,6815,44.9,128896,1035,22,37,0,115,157,223,157,914,238,693,818,1281,2121,2106,30421,9925,89493,1321,6328,8336,181005,53,182093,06,017
"Fresno County, California: Summary level: 050, state:06> county:019",38869,20008,27843,14798,40067,17703,4852,18128,30210,88278,32924,18182,22702,107200,72044,86803,57292,51225,918369,570451,48499,9796,93499,2010,194114,31.4,571585,27070,381,193,1723,3982,6531,4369,5286,21853,3749,13307,15240,14521,17831,15176,20870,57137,431701,14767,70285,68641,945353,1634,956749,06,019
