FIPS_x,state,county,target_2016,FIPS_y,target_2020
1001.0,AL,AUTAUGA,1,1001.0,1
1003.0,AL,BALDWIN,1,1003.0,1
1005.0,AL,BARBOUR,1,1005.0,1
1007.0,AL,BIBB,1,1007.0,1
1009.0,AL,BLOUNT,1,1009.0,1
1011.0,AL,BULLOCK,0,1011.0,0
1013.0,AL,BUTLER,1,1013.0,1
1015.0,AL,CALHOUN,1,1015.0,1
1017.0,AL,CHAMBERS,1,1017.0,1
1019.0,AL,CHEROKEE,1,1019.0,1
1021.0,AL,CHILTON,1,1021.0,1
1023.0,AL,CHOCTAW,1,1023.0,1
1025.0,AL,CLARKE,1,1025.0,1
1027.0,AL,CLAY,1,1027.0,1
1029.0,AL,CLEBURNE,1,1029.0,1
1031.0,AL,COFFEE,1,1031.0,1
1033.0,AL,COLBERT,1,1033.0,1
1035.0,AL,CONECUH,1,1035.0,1
1037.0,AL,COOSA,1,1037.0,1
1039.0,AL,COVINGTON,1,1039.0,1
1041.0,AL,CRENSHAW,1,1041.0,1
1043.0,AL,CULLMAN,1,1043.0,1
1045.0,AL,DALE,1,1045.0,1
1047.0,AL,DALLAS,0,1047.0,0
1049.0,AL,DEKALB,1,1049.0,1
1051.0,AL,ELMORE,1,1051.0,1
1053.0,AL,ESCAMBIA,1,1053.0,1
1055.0,AL,ETOWAH,1,1055.0,1
1057.0,AL,FAYETTE,1,1057.0,1
1059.0,AL,FRANKLIN,1,1059.0,1
1061.0,AL,GENEVA,1,1061.0,1
1063.0,AL,GREENE,0,1063.0,0
1065.0,AL,HALE,0,1065.0,0
1067.0,AL,HENRY,1,1067.0,1
1069.0,AL,HOUSTON,1,1069.0,1
1071.0,AL,JACKSON,1,1071.0,1
1073.0,AL,JEFFERSON,0,1073.0,0
1075.0,AL,LAMAR,1,1075.0,1
1077.0,AL,LAUDERDALE,1,1077.0,1
1079.0,AL,LAWRENCE,1,1079.0,1
1081.0,AL,LEE,1,1081.0,1
1083.0,AL,LIMESTONE,1,1083.0,1
1085.0,AL,LOWNDES,0,1085.0,0
1087.0,AL,MACON,0,1087.0,0
1089.0,AL,MADISON,1,1089.0,1
1091.0,AL,MARENGO,0,1091.0,0
1093.0,AL,MARION,1,1093.0,1
1095.0,AL,MARSHALL,1,1095.0,1
1097.0,AL,MOBILE,1,1097.0,1
1099.0,AL,MONROE,1,1099.0,1
1101.0,AL,MONTGOMERY,0,1101.0,0
1103.0,AL,MORGAN,1,1103.0,1
1105.0,AL,PERRY,0,1105.0,0
1107.0,AL,PICKENS,1,1107.0,1
1109.0,AL,PIKE,1,1109.0,1
1111.0,AL,RANDOLPH,1,1111.0,1
1113.0,AL,RUSSELL,0,1113.0,0
1115.0,AL,ST. CLAIR,1,1115.0,1
1117.0,AL,SHELBY,1,1117.0,1
1119.0,AL,SUMTER,0,1119.0,0
1121.0,AL,TALLADEGA,1,1121.0,1
1123.0,AL,TALLAPOOSA,1,1123.0,1
1125.0,AL,TUSCALOOSA,1,1125.0,1
1127.0,AL,WALKER,1,1127.0,1
1129.0,AL,WASHINGTON,1,1129.0,1
1131.0,AL,WILCOX,0,1131.0,0
1133.0,AL,WINSTON,1,1133.0,1
2001.0,AK,DISTRICT 1,1,2001.0,1
2002.0,AK,DISTRICT 2,1,2002.0,1
2003.0,AK,DISTRICT 3,1,2003.0,1
2004.0,AK,DISTRICT 4,0,2004.0,0
2005.0,AK,DISTRICT 5,1,2005.0,0
2006.0,AK,DISTRICT 6,1,2006.0,1
2007.0,AK,DISTRICT 7,1,2007.0,1
2008.0,AK,DISTRICT 8,1,2008.0,1
2009.0,AK,DISTRICT 9,1,2009.0,1
2010.0,AK,DISTRICT 10,1,2010.0,1
2011.0,AK,DISTRICT 11,1,2011.0,1
2012.0,AK,DISTRICT 12,1,2012.0,1
2013.0,AK,DISTRICT 13,1,2013.0,1
2014.0,AK,DISTRICT 14,1,2014.0,1
2015.0,AK,DISTRICT 15,1,2015.0,1
2016.0,AK,DISTRICT 16,0,2016.0,0
2017.0,AK,DISTRICT 17,0,2017.0,0
2018.0,AK,DISTRICT 18,0,2018.0,0
2019.0,AK,DISTRICT 19,0,2019.0,0
2020.0,AK,DISTRICT 20,0,2020.0,0
2021.0,AK,DISTRICT 21,0,2021.0,0
2022.0,AK,DISTRICT 22,1,2022.0,1
2023.0,AK,DISTRICT 23,1,2023.0,0
2024.0,AK,DISTRICT 24,1,2024.0,1
2025.0,AK,DISTRICT 25,1,2025.0,0
2026.0,AK,DISTRICT 26,1,2026.0,1
2027.0,AK,DISTRICT 27,1,2027.0,0
2028.0,AK,DISTRICT 28,1,2028.0,0
2029.0,AK,DISTRICT 29,1,2029.0,1
2030.0,AK,DISTRICT 30,1,2030.0,1
2031.0,AK,DISTRICT 31,1,2031.0,1
2032.0,AK,DISTRICT 32,1,2032.0,1
2033.0,AK,DISTRICT 33,0,2033.0,0
2034.0,AK,DISTRICT 34,0,2034.0,0
2035.0,AK,DISTRICT 35,1,2035.0,0
2036.0,AK,DISTRICT 36,1,2036.0,1
2037.0,AK,DISTRICT 37,0,2037.0,0
2038.0,AK,DISTRICT 38,0,2038.0,0
2039.0,AK,DISTRICT 39,0,2039.0,0
2040.0,AK,DISTRICT 40,0,2040.0,0
4001.0,AZ,APACHE,0,4001.0,0
4003.0,AZ,COCHISE,1,4003.0,1
4005.0,AZ,COCONINO,0,4005.0,0
4007.0,AZ,GILA,1,4007.0,1
4009.0,AZ,GRAHAM,1,4009.0,1
4011.0,AZ,GREENLEE,1,4011.0,1
4012.0,AZ,LA PAZ,1,4012.0,1
4013.0,AZ,MARICOPA,1,4013.0,0
4015.0,AZ,MOHAVE,1,4015.0,1
4017.0,AZ,NAVAJO,1,4017.0,1
4019.0,AZ,PIMA,0,4019.0,0
4021.0,AZ,PINAL,1,4021.0,1
4023.0,AZ,SANTA CRUZ,0,4023.0,0
4025.0,AZ,YAVAPAI,1,4025.0,1
4027.0,AZ,YUMA,1,4027.0,1
5001.0,AR,ARKANSAS,1,5001.0,0
5003.0,AR,ASHLEY,1,5003.0,0
5005.0,AR,BAXTER,1,5005.0,0
5007.0,AR,BENTON,1,5007.0,0
5009.0,AR,BOONE,1,5009.0,1
5011.0,AR,BRADLEY,1,5011.0,0
5013.0,AR,CALHOUN,1,5013.0,1
5015.0,AR,CARROLL,1,5015.0,0
5017.0,AR,CHICOT,0,5017.0,0
5019.0,AR,CLARK,1,5019.0,0
5021.0,AR,CLAY,1,5021.0,1
5023.0,AR,CLEBURNE,1,5023.0,1
5025.0,AR,CLEVELAND,1,5025.0,1
5027.0,AR,COLUMBIA,1,5027.0,0
5029.0,AR,CONWAY,1,5029.0,0
5031.0,AR,CRAIGHEAD,1,5031.0,0
5033.0,AR,CRAWFORD,1,5033.0,0
5035.0,AR,CRITTENDEN,0,5035.0,0
5037.0,AR,CROSS,1,5037.0,0
5039.0,AR,DALLAS,1,5039.0,0
5041.0,AR,DESHA,0,5041.0,0
5043.0,AR,DREW,1,5043.0,0
5045.0,AR,FAULKNER,1,5045.0,0
5047.0,AR,FRANKLIN,1,5047.0,1
5049.0,AR,FULTON,1,5049.0,0
5051.0,AR,GARLAND,1,5051.0,0
5053.0,AR,GRANT,1,5053.0,1
5055.0,AR,GREENE,1,5055.0,0
5057.0,AR,HEMPSTEAD,1,5057.0,1
5059.0,AR,HOT SPRING,1,5059.0,0
5061.0,AR,HOWARD,1,5061.0,1
5063.0,AR,INDEPENDENCE,1,5063.0,1
5065.0,AR,IZARD,1,5065.0,1
5067.0,AR,JACKSON,1,5067.0,0
5069.0,AR,JEFFERSON,0,5069.0,0
5071.0,AR,JOHNSON,1,5071.0,0
5073.0,AR,LAFAYETTE,1,5073.0,1
5075.0,AR,LAWRENCE,1,5075.0,1
5077.0,AR,LEE,0,5077.0,0
5079.0,AR,LINCOLN,1,5079.0,0
5081.0,AR,LITTLE RIVER,1,5081.0,1
5083.0,AR,LOGAN,1,5083.0,0
5085.0,AR,LONOKE,1,5085.0,0
5087.0,AR,MADISON,1,5087.0,0
5089.0,AR,MARION,1,5089.0,1
5091.0,AR,MILLER,1,5091.0,0
5093.0,AR,MISSISSIPPI,1,5093.0,0
5095.0,AR,MONROE,1,5095.0,1
5097.0,AR,MONTGOMERY,1,5097.0,1
5099.0,AR,NEVADA,1,5099.0,0
5101.0,AR,NEWTON,1,5101.0,1
5103.0,AR,OUACHITA,1,5103.0,0
5105.0,AR,PERRY,1,5105.0,0
5107.0,AR,PHILLIPS,0,5107.0,0
5109.0,AR,PIKE,1,5109.0,1
5111.0,AR,POINSETT,1,5111.0,1
5113.0,AR,POLK,1,5113.0,1
5115.0,AR,POPE,1,5115.0,0
5117.0,AR,PRAIRIE,1,5117.0,1
5119.0,AR,PULASKI,0,5119.0,0
5121.0,AR,RANDOLPH,1,5121.0,1
5123.0,AR,ST. FRANCIS,0,5123.0,0
5125.0,AR,SALINE,1,5125.0,0
5127.0,AR,SCOTT,1,5127.0,1
5129.0,AR,SEARCY,1,5129.0,1
5131.0,AR,SEBASTIAN,1,5131.0,0
5133.0,AR,SEVIER,1,5133.0,1
5135.0,AR,SHARP,1,5135.0,1
5137.0,AR,STONE,1,5137.0,0
5139.0,AR,UNION,1,5139.0,0
5141.0,AR,VAN BUREN,1,5141.0,0
5143.0,AR,WASHINGTON,1,5143.0,0
5145.0,AR,WHITE,1,5145.0,1
5147.0,AR,WOODRUFF,1,5147.0,0
5149.0,AR,YELL,1,5149.0,1
6001.0,CA,ALAMEDA,0,6001.0,0
6003.0,CA,ALPINE,0,6003.0,0
6005.0,CA,AMADOR,1,6005.0,1
6007.0,CA,BUTTE,1,6007.0,0
6009.0,CA,CALAVERAS,1,6009.0,1
6011.0,CA,COLUSA,1,6011.0,1
6013.0,CA,CONTRA COSTA,0,6013.0,0
6015.0,CA,DEL NORTE,1,6015.0,1
6017.0,CA,EL DORADO,1,6017.0,1
6019.0,CA,FRESNO,0,6019.0,0
6021.0,CA,GLENN,1,6021.0,1
6023.0,CA,HUMBOLDT,0,6023.0,0
6025.0,CA,IMPERIAL,0,6025.0,0
6027.0,CA,INYO,1,6027.0,0
6029.0,CA,KERN,1,6029.0,1
6031.0,CA,KINGS,1,6031.0,1
6033.0,CA,LAKE,0,6033.0,0
6035.0,CA,LASSEN,1,6035.0,1
