Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Exemptions,Unnamed: 5,Unnamed: 6,county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
,#,#,# %,# %,# % # %,#,%,,,,,,,,,,,,,,2015,FL
Alachua,52,"2,667","2,502 93.8%",90 3.4%,6 0.2% 45 1.7%,23,0.9%,,,,,,,,,,,,,,2015,FL
Baker,2,358,353 98.6%,2 0.6%,0 0.0% 3 0.8%,,"0 0.0""/o",,,,,,,,,,,,,,2015,FL
Bay,33,"2,305","2,221 96.4%",50 2.2%,1 0.0% 30 1.3%,,2 0.1%,,,,,,,,,,,,,,2015,FL
Bradford,10,324,311 96.0%,13 4.0%,0 0.0% 0 0.0%,,"0 0.0""/o",,,,,,,,,,,,,,2015,FL
Brevard,110,"5,850","5,597 95.7%",84 1.4%,12 0.2% 144 2.5%,13,0.2%,,,,,,,,,,,,,,2015,FL
Broward,349,"21,470","20,230 94.2%",480 2.2%,27 0.1% 429 2.0%,246,1.1%,,,,,,,,,,,,,,2015,FL
Calhoun,3,166,161 97.0%,3 1.8%,0 0.0% 1 0.6%,,1 0.6%,,,,,,,,,,,,,,2015,FL
Charlotte,20,1 '104,"1,045 94.7%",20 1.8%,4 0.4% 31 2.8%,,3 0.3%,,,,,,,,,,,,,,2015,FL
Citrus,20,1 '155,"1,097 95.0%",27 2.3%,0 0.0% 30 2.6%,,1 0.1%,,,,,,,,,,,,,,2015,FL
Clay,39,"2,611","2,541 97.3%",27 1.0%,2 0.1% 31 1.2%,10,0.4%,,,,,,,,,,,,,,2015,FL
Collier,57,"3,513","3,337 95.0%",72 2.0%,7 0.2% 93 2.6%,,4 0.1%,,,,,,,,,,,,,,2015,FL
Columbia,21,963,877 91.1%,7 0.7%,1 0.1% 74 7.7%,,4 0.4%,,,,,,,,,,,,,,2015,FL
Dade,707,"30,328","28,047 92.5%","1,487 4.9%","290 1.0""/o 369 1.2%",95,0.3%,,,,,,,,,,,,,,2015,FL
DeSoto,6,445,427 96.0%,9 2.0%,0 0.0% 6 1.3%,,3 0.7%,,,,,,,,,,,,,,2015,FL
Dixie,4,186,182 97.8%,2 1.1%,0 0.0% 2 1.1%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Duval,229,"11 ,937","10,870 91.1%",660 5.5%,11 0.1% 148 1.2%,247,2.1%,,,,,,,,,,,,,,2015,FL
Escambia,69,"4,020","3,842 95.6%",68 1.7%,6 0.1% 71 1.8%,,8 0.2%,,,,,,,,,,,,,,2015,FL
Flagler,13,944,891 94.4%,16 1.7%,3 0.3% 34 3.6%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Franklin,3,111,100 90.1%,9 8.1%,0 0.0% 1 0.9%,,1 0.9%,,,,,,,,,,,,,,2015,FL
Gadsden,14,479,468 97.7%,7 1.5%,2 0.4% 0 0.0%,,2 0.4%,,,,,,,,,,,,,,2015,FL
Gilchrist,4,240,226 94.2%,8 3.3%,1 0.4% 4 1.7%,,1 0.4%,,,,,,,,,,,,,,2015,FL
Glades,3,159,153 96.2%,5 3.1%,0 0.0% 1 0.6%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Gulf,3,160,157 98.1%,0 0.0%,1 0.6% 2 1.3%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Hamilton,8,157,154 98.1%,0 0.0%,0 0.0% 1 0.6%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Hardee,6,434,431 99.3%,0 0.0%,0 0.0% 0 0.0%,,3 0.7%,,,,,,,,,,,,,,2015,FL
Hendry,8,577,546 94.6%,12 2.1%,1 0.2% 2 0.3%,15,2.6%,,,,,,,,,,,,,,2015,FL
Hernando,27,"1,651","1,539 93.2%",33 2.0%,2 0.1% 38 2.3%,39,2.4%,,,,,,,,,,,,,,2015,FL
Highlands,20,"1,072","1,043 97.3%",11 1.0%,3 0.3% 11 1.0%,,4 0.4%,,,,,,,,,,,,,,2015,FL
Hillsborough,255,"17,598","16,172 91.9%",524 3.0%,14 0.1% 189 1.1%,686,3.9%,,,,,,,,,,,,,,2015,FL
Holmes,4,276,269 97.5%,5 1.8%,0 0.0% 1 0.4%,,1 0.4%,,,,,,,,,,,,,,2015,FL
Indian River,27,"1,357","1,271 93.7%",18 1.3%,3 0.2% 30 2.2%,35,2.6%,,,,,,,,,,,,,,2015,FL
Jackson,10,561,549 97.9%,6 1.1%,1 0.2% 5 0.9%,,"0 0.0""/o",,,,,,,,,,,,,,2015,FL
Jefferson,3,82,79 96.3%,0 0.0%,1 1.2% 0 0.0%,,2 2.4%,,,,,,,,,,,,,,2015,FL
Lafayette,2,95,93 97.9%,1 1.1%,0 0.0% 0 0.0%,,1 1.1%,,,,,,,,,,,,,,2015,FL
Lake,54,"3,659","3,477 95.0%",106 2.9%,9 0.2% 58 1.6%,,0 0.0%,,,,,,,,,,,,,,2015,FL
Lee,100,"7,084","6,751 95.3%",155 2.2%,13 0.2% 149 2.1%,14,0.2%,,,,,,,,,,,,,,2015,FL
Leon,52,"2,936","2,739 93.3%",126 4.3%,12 0.4% 55 1.9%,,1 0.0%,,,,,,,,,,,,,,2015,FL
Levy,9,498,465 93.4%,8 1.6%,0 0.0% 5 1.0%,20,4.0%,,,,,,,,,,,,,,2015,FL
Liberty,2,105,102 97.1%,1 1.0%,0 0.0% 0 0.0%,,2 1.9%,,,,,,,,,,,,,,2015,FL
Madison,6,205,203 99.0%,0 0.0%,0 0.0% 1 0.5%,,1 0.5%,,,,,,,,,,,,,,2015,FL
Manatee,61,"3,521","3,373 95.8%",65 1.8%,4 0.1% 62 1.8%,15,0.4%,,,,,,,,,,,,,,2015,FL
