county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
Alachua3,59,"2,682","2,535",94.5,58,2.2,1,0.0,87,3.2,1,0.0,2019,FL
Baker,5,417,401,96.2,3,0.7,0,0.0,13,3.1,0,0.0,2019,FL
Bay,33,"1,972","1,885",95.6,39,2.0,3,0.2,42,2.1,2,0.1,2019,FL
Bradford,10,312,297,95.2,7,2.2,0,0.0,8,2.6,0,0.0,2019,FL
Brevard,115,"5,804","5,527",95.2,50,0.9,15,0.3,208,3.6,4,0.1,2019,FL
Broward3,350,"21,334","20,037",93.9,512,2.4,25,0.1,708,3.3,27,0.1,2019,FL
Calhoun,3,157,152,96.8,2,1.3,1,0.6,1,0.6,1,0.6,2019,FL
Charlotte3,22,"1,220","1,132",92.8,13,1.1,3,0.2,54,4.4,6,0.5,2019,FL
Citrus3,18,"1,305","1,217",93.3,33,2.5,1,0.1,54,4.1,0,0.0,2019,FL
Clay,46,"2,812","2,701",96.1,24,0.9,3,0.1,83,3.0,0,0.0,2019,FL
Collier3,60,"3,551","3,295",92.8,86,2.4,10,0.3,153,4.3,2,0.1,2019,FL
Columbia3,19,931,886,95.2,11,1.2,0,0.0,25,2.7,9,1.0,2019,FL
Dade3,802,"29,124","27,209",93.4,922,3.2,416,1.4,535,1.8,1,0.0,2019,FL
DeSoto3,4,375,360,96.0,9,2.4,0,0.0,6,1.6,0,0.0,2019,FL
Dixie,4,191,185,96.9,2,1.0,0,0.0,4,2.1,0,0.0,2019,FL
Duval3,226,"11,885","11,145",93.8,313,2.6,16,0.1,325,2.7,82,0.7,2019,FL
Escambia3,66,"3,793","3,522",92.9,151,4.0,0,0.0,101,2.7,9,0.2,2019,FL
Flagler3,14,942,878,93.2,9,1.0,4,0.4,51,5.4,0,0.0,2019,FL
Franklin,3,105,103,98.1,0,0.0,1,1.0,1,1.0,0,0.0,2019,FL
Gadsden,10,395,386,97.7,8,2.0,0,0.0,1,0.3,0,0.0,2019,FL
Gilchrist3,5,250,241,96.4,4,1.6,0,0.0,5,2.0,0,0.0,2019,FL
Glades3,4,162,153,94.4,8,4.9,0,0.0,1,0.6,0,0.0,2019,FL
Gulf,5,158,153,96.8,1,0.6,0,0.0,4,2.5,0,0.0,2019,FL
Hamilton,5,132,127,96.2,4,3.0,0,0.0,1,0.8,0,0.0,2019,FL
Hardee,6,441,437,99.1,1,0.2,0,0.0,3,0.7,0,0.0,2019,FL
Hendry,12,585,557,95.2,10,1.7,2,0.3,16,2.7,0,0.0,2019,FL
Hernando3,33,"1,781","1,658",93.1,33,1.9,4,0.2,82,4.6,3,0.2,2019,FL
Highlands3,18,"1,056","1,016",96.2,10,0.9,0,0.0,26,2.5,4,0.4,2019,FL
Hillsborough3,282,"18,189","17,317",95.2,418,2.3,15,0.1,412,2.3,4,0.0,2019,FL
Holmes,4,257,254,98.8,2,0.8,0,0.0,1,0.4,0,0.0,2019,FL
Indian River3,26,"1,397","1,320",94.5,23,1.6,7,0.5,43,3.1,4,0.3,2019,FL
Jackson3,9,550,531,96.5,9,1.6,0,0.0,8,1.5,1,0.2,2019,FL
Jefferson3,4,86,81,94.2,4,4.7,0,0.0,1,1.2,0,0.0,2019,FL
Lafayette,2,108,101,93.5,3,2.8,0,0.0,4,3.7,0,0.0,2019,FL
Lake3,60,"3,845","3,608",93.8,119,3.1,7,0.2,99,2.6,9,0.2,2019,FL
Lee3,99,"7,167","6,677",93.2,193,2.7,20,0.3,266,3.7,4,0.1,2019,FL
Leon3,39,"2,673","2,547",95.3,55,2.1,3,0.1,62,2.3,0,0.0,2019,FL
Levy,9,476,453,95.2,8,1.7,0,0.0,15,3.2,0,0.0,2019,FL
Liberty,2,113,106,93.8,5,4.4,0,0.0,2,1.8,0,0.0,2019,FL
Madison3,8,251,247,98.4,2,0.8,0,0.0,2,0.8,0,0.0,2019,FL
Manatee,70,"3,882","3,630",93.5,113,2.9,14,0.4,122,3.1,0,0.0,2019,FL
Marion3,64,"3,484","3,311",95.0,73,2.1,1,0.0,96,2.8,2,0.1,2019,FL
Martin3,29,"1,491","1,354",90.8,52,3.5,9,0.6,71,4.8,3,0.2,2019,FL
Monroe3,17,744,674,90.6,24,3.2,2,0.3,43,5.8,1,0.1,2019,FL
Nassau3,14,985,924,93.8,29,2.9,3,0.3,28,2.8,1,0.1,2019,FL
Okaloosa3,47,"2,783","2,639",94.8,48,1.7,4,0.1,91,3.3,1,0.0,2019,FL
Okeechobee,10,582,550,94.5,14,2.4,1,0.2,14,2.4,3,0.5,2019,FL
Orange3,297,"14,954","13,461",90.0,991,6.6,70,0.5,382,2.6,18,0.1,2019,FL
Osceola3,93,"5,109","4,695",91.9,233,4.6,16,0.3,146,2.9,16,0.3,2019,FL
Palm Beach3,231,"15,344","14,135",92.1,511,3.3,60,0.4,513,3.3,4,0.0,2019,FL
Pasco3,83,"5,784","5,439",94.0,122,2.1,27,0.5,170,2.9,9,0.2,2019,FL
Pinellas3,179,"8,335","7,685",92.2,197,2.4,15,0.2,390,4.7,48,0.6,2019,FL
