Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,year,state
010010010260001,Payson CUSD 1,Seymour High School,232.0,0.0,3.0,0.0,0.9870689655172414,232.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,1.0,2015,IL
010010010262002,Payson CUSD 1,Seymour Elementary School,333.0,0.0,2.0,0.0,0.993993993993994,332.0,1.0,0.0,0.0,0.0,0.0,332.0,1.0,0.996996996996997,2015,IL
010010020260001,Liberty CUSD 2,Liberty High School,278.0,0.0,0.0,0.0,1.0,278.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,1.0,2015,IL
010010020262002,Liberty CUSD 2,Liberty Elementary School,346.0,0.0,0.0,0.0,1.0,344.0,0.0,1.0,0.0,1.0,0.0,344.0,2.0,0.9942196531791907,2015,IL
010010030260001,Central CUSD 3,Central High School,258.0,1.0,0.0,1.0,0.996124031007752,255.0,3.0,0.0,0.0,0.0,0.0,255.0,3.0,0.9883720930232558,2015,IL
010010030261001,Central CUSD 3,Central Junior High School,267.0,0.0,0.0,0.0,1.0,266.0,1.0,0.0,0.0,0.0,0.0,266.0,1.0,0.9962546816479401,2015,IL
010010030262003,Central CUSD 3,Central Elementary Grade School,243.0,2.0,0.0,2.0,0.9917695473251028,238.0,2.0,0.0,1.0,0.0,2.0,238.0,5.0,0.9794238683127572,2015,IL
010010030262008,Central CUSD 3,Central 3-4 Middle School,146.0,0.0,0.0,0.0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,1.0,2015,IL
010010040260001,CUSD 4,Unity High School,233.0,0.0,0.0,0.0,1.0,233.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,1.0,2015,IL
010010040262006,CUSD 4,Unity Elementary School,201.0,0.0,0.0,0.0,1.0,200.0,1.0,0.0,0.0,0.0,0.0,200.0,1.0,0.9950248756218906,2015,IL
010010040262007,CUSD 4,Unity Middle School,241.0,0.0,0.0,0.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,1.0,2015,IL
010011720220003,Quincy SD 172,Quincy Sr High School,1430.0,25.0,7.0,8.0,0.9776223776223776,1421.0,5.0,3.0,1.0,0.0,0.0,1421.0,9.0,0.9937062937062937,2015,IL
