Region-County-District-Type-School (RCDTS) ,District/Parent Entity,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,year,state
010010010260001,Payson CUSD 1,Seymour High School,242.0,0.0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,1.0,2018,IL
010010010262002,Payson CUSD 1,Seymour Elementary School,319.0,0.0,0.0,0.0,1.0,317.0,2.0,0.0,0.0,0.0,0.0,317.0,2.0,0.9937304075235109,2018,IL
010010020260001,Liberty CUSD 2,Liberty High School,286.0,1.0,0.0,1.0,0.9965034965034965,286.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,1.0,2018,IL
010010020262002,Liberty CUSD 2,Liberty Elementary School,349.0,0.0,0.0,0.0,1.0,342.0,5.0,2.0,0.0,0.0,0.0,342.0,7.0,0.9799426934097422,2018,IL
01001002X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St James Lutheran,148.0,0.0,0.0,0.0,1.0,147.0,1.0,0.0,0.0,0.0,0.0,147.0,1.0,0.9932432432432432,2018,IL
010010030261001,Central CUSD 3,Central Junior High School,282.0,0.0,0.0,0.0,1.0,280.0,1.0,0.0,1.0,0.0,0.0,280.0,2.0,0.9929078014184397,2018,IL
010010030262003,Central CUSD 3,Central Elementary Grade School,239.0,0.0,0.0,0.0,1.0,236.0,3.0,0.0,0.0,0.0,0.0,236.0,3.0,0.9874476987447699,2018,IL
010010030262008,Central CUSD 3,Central 3-4 Middle School,125.0,0.0,0.0,0.0,1.0,124.0,1.0,0.0,0.0,0.0,0.0,124.0,1.0,0.992,2018,IL
010010040260001,CUSD 4,Unity High School,204.0,0.0,0.0,0.0,1.0,204.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,1.0,2018,IL
010010040262006,CUSD 4,Unity Elementary School,228.0,1.0,0.0,1.0,0.9956140350877193,223.0,2.0,0.0,2.0,0.0,1.0,223.0,5.0,0.9780701754385965,2018,IL
010010040262007,CUSD 4,Unity Middle School,251.0,3.0,0.0,3.0,0.9880478087649402,251.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,1.0,2018,IL
01001005X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Dominic School,170.0,0.0,0.0,0.0,1.0,168.0,1.0,0.0,1.0,0.0,0.0,168.0,2.0,0.9882352941176471,2018,IL
01001006X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Francis Solanus,349.0,0.0,0.0,0.0,1.0,340.0,4.0,0.0,5.0,0.0,0.0,340.0,9.0,0.9742120343839542,2018,IL
01001007X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Blessed Sacrament Catholic School,233.0,0.0,0.0,0.0,1.0,227.0,2.0,0.0,4.0,0.0,0.0,227.0,6.0,0.9742489270386266,2018,IL
01001009X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Peter School,433.0,0.0,0.0,0.0,1.0,423.0,6.0,3.0,1.0,0.0,0.0,423.0,10.0,0.976905311778291,2018,IL
01001012Y100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy Notre Dame High School,392.0,0.0,0.0,0.0,1.0,389.0,2.0,1.0,0.0,0.0,0.0,389.0,3.0,0.9923469387755102,2018,IL
010011720220003,Quincy SD 172,Quincy Sr High School,1825.0,2.0,3.0,5.0,0.9972602739726028,1814.0,9.0,2.0,0.0,0.0,0.0,1814.0,11.0,0.993972602739726,2018,IL
010011720221003,Quincy SD 172,Quincy Jr High School,1478.0,15.0,1.0,15.0,0.9891745602165088,1467.0,9.0,1.0,1.0,0.0,0.0,1467.0,11.0,0.9925575101488497,2018,IL
010011720222004,Quincy SD 172,Sarah Atwater Denman Elem Site 2,368.0,0.0,0.0,0.0,1.0,364.0,3.0,0.0,1.0,0.0,0.0,364.0,4.0,0.9891304347826086,2018,IL
010011720222006,Quincy SD 172,Colonel George Iles Elem Sch,590.0,1.0,1.0,2.0,0.9966101694915255,580.0,8.0,1.0,0.0,0.0,1.0,580.0,10.0,0.9830508474576272,2018,IL
010011720222007,Quincy SD 172,Thomas S Baldwin Elem Sch Site 1,271.0,1.0,0.0,1.0,0.996309963099631,266.0,3.0,1.0,0.0,0.0,1.0,266.0,5.0,0.981549815498155,2018,IL
010011720222008,Quincy SD 172,Sarah Atwater Denman Elem Site 1,143.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,1.0,0.0,0.0,142.0,1.0,0.993006993006993,2018,IL
010011720222009,Quincy SD 172,Thomas S Baldwin Elem Sch Site 2,275.0,0.0,1.0,0.0,0.9963636363636363,270.0,3.0,1.0,1.0,0.0,0.0,270.0,5.0,0.9818181818181818,2018,IL
010011720222016,Quincy SD 172,Lincoln-Douglas Elementary School,574.0,0.0,0.0,0.0,1.0,569.0,3.0,0.0,2.0,0.0,0.0,569.0,5.0,0.9912891986062717,2018,IL
010011720222017,Quincy SD 172,Dr. Abby Fox Rooney Elem Sch,536.0,0.0,0.0,0.0,1.0,531.0,3.0,1.0,1.0,0.0,0.0,531.0,5.0,0.9906716417910447,2018,IL
010011720223004,Quincy SD 172,Early Childhood,509.0,1.0,0.0,1.0,0.9980353634577603,506.0,3.0,0.0,0.0,0.0,0.0,506.0,3.0,0.9941060903732809,2018,IL
010011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,9.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2018,IL
010050010260001,Brown County CUSD 1,Brown County High School,201.0,0.0,0.0,0.0,1.0,201.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,1.0,2018,IL
