school_code,county,public/private,district,city,school_name,enrollment_n,vaccinated_n,vaccinated_perc,temp_unvax_n,temp_unvax_perc,perm_med_exempt_n,perm_med_exempt_perc,other_n,other_perc,over_due_n,over_due_perc,five_dose_DTP_n,five_dose_DTP_perc,polio_n,polio_perc,mmr_n,mmr_perc,hepb_n,hepb_perc,varicell_n,varicella_perc,reported,year,state
0123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,27.0,24,89,0,0,0,0,0,0,3,11,25,93,24,89,25,93,--*,≥95%,--*,≥95%,Y,2018,CA
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,111.0,109,98,2,2,0,0,0,0,0,0,109,98,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,61.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
0125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER,91.0,72,79,14,15,5,5,0,0,0,0,75,82,74,81,76,84,79,87,79,87,Y,2018,CA
0124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,78.0,75,96,0,0,3,4,0,0,0,0,75,96,75,96,75,96,75,96,75,96,Y,2018,CA
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,149.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,71.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,81.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,104.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,50.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,124.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
