,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
0,"Alameda County, California: Summary level: 050, state:06> county:001",3129,45984,84548,21494,76483,44172,30599,52291,171666,184267,75686,42329,29801,433362,132862,157602,53392,85231,1549761,670364,175751,11120,499382,13900,179244,37.6,1172662,27693,271,471,777,1775,3561,2715,3378,16726,3540,8627,17492,9857,11466,27175,43583,41725,904174,7760,28217,33795,1647749,2304,1656754,06,001
1,"Alpine County, California: Summary level: 050, state:06> county:003",26,23,9,0,36,18,10,5,38,81,59,2,36,128,68,55,49,43,986,599,9,353,10,6,9,52.2,770,17,0,0,0,0,0,4,0,13,2,4,4,7,12,5,30512,49,392,8,29,55,1039,0,1039,06,003
2,"Amador County, California: Summary level: 050, state:06> county:005",702,1069,587,155,1588,794,276,604,1228,2619,1837,723,1483,4629,3099,2973,1545,1419,36599,33327,904,303,508,57,1500,50.5,30295,240,1,0,4,11,42,25,24,99,110,168,382,344,834,740,31160,1010,14675,208,477,937,34742,0,38429,06,005
3,"Butte County, California: Summary level: 050, state:06> county:007",3874,5785,6529,1728,12678,3569,1750,4823,9164,26042,11349,4276,4528,35393,20530,20278,8591,11303,212046,184180,3461,2616,10432,603,10754,37.1,147509,2495,8,1,158,157,330,251,175,1030,258,957,1431,2316,2784,3513,24067,8462,104557,1564,6225,5807,223229,138,225817,06,007
4,"Calaveras County, California: Summary level: 050, state:06> county:009",582,1856,1463,397,1652,919,317,810,1964,3648,1472,709,1434,5571,3893,3797,2114,1848,43152,41173,315,353,684,19,608,52.0,34848,262,0,0,0,36,17,41,0,234,127,241,242,666,746,812,29124,1174,18397,59,652,1253,45112,9,45514,06,009
5,"Colusa County, California: Summary level: 050, state:06> county:011",2584,464,1128,227,971,449,25,235,490,1257,1085,354,423,2328,1690,1446,2650,1578,20845,18949,327,225,309,38,997,35.3,13677,579,0,6,23,124,161,183,175,1065,133,159,518,205,324,277,27103,435,10127,187,868,1020,21291,17,21454,06,011
6,"Contra Costa County, California: Summary level: 050, state:06> county:013",3720,39996,36264,12750,56651,30871,14048,46161,92160,124265,50725,28768,22987,246904,100424,118041,43218,50779,1064295,637904,99642,5506,190983,5631,124629,39.7,787178,13879,356,215,230,1300,2573,1774,3089,12021,2500,6456,8418,6352,8162,15596,42181,31392,590758,7138,21979,27379,1137149,1477,1142251,06,013
7,"Del Norte County, California: Summary level: 050, state:06> county:015",400,463,395,110,955,140,90,252,492,2673,1067,406,1572,3159,2624,1446,920,866,25759,20581,940,1986,888,44,1320,39.5,19644,282,0,3,1,32,21,10,30,212,95,289,445,591,1203,704,23493,751,9766,344,437,796,24588,30,27495,06,015
8,"El Dorado County, California: Summary level: 050, state:06> county:017",1167,6820,5944,1851,8804,3636,1566,6286,10819,17295,10628,4166,6119,35061,16508,18886,6999,7647,181300,165234,1516,1532,8540,486,3992,45.9,137028,1044,0,0,24,48,135,67,229,778,156,539,604,920,2009,2476,36682,4917,90018,1217,3396,3862,187280,96,188563,06,017
9,"Fresno County, California: Summary level: 050, state:06> county:019",39505,24083,27876,13547,42500,21727,5111,18745,35869,99072,34489,19807,25180,123664,80711,84831,60804,57501,944137,639985,46782,11656,101857,1620,142237,32.2,604137,23820,262,356,1580,2925,6280,3714,5483,22686,4172,12184,13416,13936,15684,18734,25238,38876,446387,8499,33808,37449,973266,1408,984521,06,019
