FIPS_x,state,county,target_2016,FIPS_y,target_2020
6007.0,CA,BUTTE,1,6007.0,0
6027.0,CA,INYO,1,6027.0,0
12031.0,FL,DUVAL,1,12031.0,0
12103.0,FL,PINELLAS,1,12103.0,0
12117.0,FL,SEMINOLE,1,12117.0,0
17093.0,IL,KENDALL,1,17093.0,0
17113.0,IL,MCLEAN,1,17113.0,0
26081.0,MI,KENT,1,26081.0,0
26089.0,MI,LEELANAU,1,26089.0,0
26145.0,MI,SAGINAW,1,26145.0,0
48163.0,TX,FRIO,0,48163.0,1
48209.0,TX,HAYS,1,48209.0,0
48249.0,TX,JIM WELLS,0,48249.0,1
48261.0,TX,KENEDY,0,48261.0,1
48273.0,TX,KLEBERG,0,48273.0,1
48283.0,TX,LA SALLE,0,48283.0,1
48389.0,TX,REEVES,0,48389.0,1
48439.0,TX,TARRANT,1,48439.0,0
48465.0,TX,VAL VERDE,0,48465.0,1
48491.0,TX,WILLIAMSON,1,48491.0,0
48505.0,TX,ZAPATA,0,48505.0,1
