county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc
Alachua,52,"2,667","2,502",93.8%,90,3.4%,6.0,0.2%,45,1.7%,23,0.9%
Baker,2,358,353,98.6%,2,0.6%,0.0,0.0%,3,0.8%,0,"0.0""/o"
Bay,33,"2,305","2,221",96.4%,50,2.2%,1.0,0.0%,30,1.3%,2,0.1%
Bradford,10,324,311,96.0%,13,4.0%,0.0,0.0%,0,0.0%,0,"0.0""/o"
Brevard,110,"5,850","5,597",95.7%,84,1.4%,12.0,0.2%,144,2.5%,13,0.2%
Broward,349,"21,470","20,230",94.2%,480,2.2%,27.0,0.1%,429,2.0%,246,1.1%
Calhoun,3,166,161,97.0%,3,1.8%,0.0,0.0%,1,0.6%,1,0.6%
Charlotte,20,1 '104,"1,045",94.7%,20,1.8%,4.0,0.4%,31,2.8%,3,0.3%
Citrus,20,1 '155,"1,097",95.0%,27,2.3%,0.0,0.0%,30,2.6%,1,0.1%
Clay,39,"2,611","2,541",97.3%,27,1.0%,2.0,0.1%,31,1.2%,10,0.4%
Collier,57,"3,513","3,337",95.0%,72,2.0%,7.0,0.2%,93,2.6%,4,0.1%
Columbia,21,963,877,91.1%,7,0.7%,1.0,0.1%,74,7.7%,4,0.4%
De Soto,6,445,427,96.0%,9,2.0%,0.0,0.0%,6,1.3%,3,0.7%
Dixie,4,186,182,97.8%,2,1.1%,0.0,0.0%,2,1.1%,0,0.0%
Duval,229,"11 ,937","10,870",91.1%,660,5.5%,11.0,0.1%,148,1.2%,247,2.1%
Escambia,69,"4,020","3,842",95.6%,68,1.7%,6.0,0.1%,71,1.8%,8,0.2%
Flagler,13,944,891,94.4%,16,1.7%,3.0,0.3%,34,3.6%,0,0.0%
Franklin,3,111,100,90.1%,9,8.1%,0.0,0.0%,1,0.9%,1,0.9%
Gadsden,14,479,468,97.7%,7,1.5%,2.0,0.4%,0,0.0%,2,0.4%
Gilchrist,4,240,226,94.2%,8,3.3%,1.0,0.4%,4,1.7%,1,0.4%
Glades,3,159,153,96.2%,5,3.1%,0.0,0.0%,1,0.6%,0,0.0%
Gulf,3,160,157,98.1%,0,0.0%,1.0,0.6%,2,1.3%,0,0.0%
Hamilton,8,157,154,98.1%,0,0.0%,0.0,0.0%,1,0.6%,0,0.0%
Hardee,6,434,431,99.3%,0,0.0%,0.0,0.0%,0,0.0%,3,0.7%
Hendry,8,577,546,94.6%,12,2.1%,1.0,0.2%,2,0.3%,15,2.6%
Hernando,27,"1,651","1,539",93.2%,33,2.0%,2.0,0.1%,38,2.3%,39,2.4%
Highlands,20,"1,072","1,043",97.3%,11,1.0%,3.0,0.3%,11,1.0%,4,0.4%
Hillsborough,255,"17,598","16,172",91.9%,524,3.0%,14.0,0.1%,189,1.1%,686,3.9%
Holmes,4,276,269,97.5%,5,1.8%,0.0,0.0%,1,0.4%,1,0.4%
Indian River,27,"1,357","1,271",93.7%,18,1.3%,3.0,0.2%,30,2.2%,35,2.6%
Jackson,10,561,549,97.9%,6,1.1%,1.0,0.2%,5,0.9%,0,"0.0""/o"
Jefferson,3,82,79,96.3%,0,0.0%,1.0,1.2%,0,0.0%,2,2.4%
Lafayette,2,95,93,97.9%,1,1.1%,0.0,0.0%,0,0.0%,1,1.1%
Lake,54,"3,659","3,477",95.0%,106,2.9%,9.0,0.2%,58,1.6%,0,0.0%
Lee,100,"7,084","6,751",95.3%,155,2.2%,13.0,0.2%,149,2.1%,14,0.2%
Leon,52,"2,936","2,739",93.3%,126,4.3%,12.0,0.4%,55,1.9%,1,0.0%
Levy,9,498,465,93.4%,8,1.6%,0.0,0.0%,5,1.0%,20,4.0%
Liberty,2,105,102,97.1%,1,1.0%,0.0,0.0%,0,0.0%,2,1.9%
Madison,6,205,203,99.0%,0,0.0%,0.0,0.0%,1,0.5%,1,0.5%
Manatee,61,"3,521","3,373",95.8%,65,1.8%,4.0,0.1%,62,1.8%,15,0.4%
Marion,55,"3,278","3,121",95.2%,76,2.3%,3.0,0.1%,62,1.9%,16,0.5%
Martin,24,"1,456","1,354",93.0%,42,2.9%,4.0,0.3%,42,2.9%,14,1.0%
Miami-Dade,707,"30,328","28,047",92.5%,"1,487",4.9%,290.0,"1.0""/o",369,1.2%,95,0.3%
Monroe,19,652,614,94.2%,12,1.8%,2.0,0.3%,22,3.4%,2,0.3%
Nassau,14,879,838,95.3%,25,2.8%,2.0,0.2%,14,1.6%,0,0.0%
Okaloosa,44,"2,555","2,448",95.8%,31,1.2%,2.0,0.1%,50,2.0%,22,0.9%
Okeechobee,8,526,516,98.1%,2,0.4%,1.0,0.2%,4,0.8%,3,0.6%
Orange,281,"15,822","14,833",93.7%,601,3.8%,62.0,0.4%,279,1.8%,26,0.2%
Osceola,70,"4,466","4,187",93.8%,161,3.6%,14.0,0.3%,68,1.5%,33,0.7%
Palm Beach,214,"14,901","13,521",90.7%,554,3.7%,13.0,0.1%,319,2.1%,490,3.3%
Pasco,76,"5,110","4,857",95.0%,91,1.8%,9.0,0.2%,112,2.2%,41,0.8%
Pinellas,170,"8,536","8,068",94.5%,166,1.9%,23.0,0.3%,269,3.2%,10,0.1%
Polk,132,"8,189","7,887",96.3%,110,1.3%,91.0,1.1%,96,1.2%,5,0.1%
Putnam,19,864,831,96.2%,22,2.5%,0.0,0.0%,6,0.7%,5,0.6%
Santa Rosa,22,"1,867","1,765",94.5%,31,1.7%,0.0,0.0%,36,1.9%,33,1.8%
Sarasota,57,"3,181","2,960",93.1%,56,1.8%,5.0,0.2%,154,4.8%,4,0.1%
Seminole,84,"5,108","4,771",93.4%,99,1.9%,10.0,0.2%,187,3.7%,15,0.3%
St Johns,38,"2,678","2,494",93.1%,47,1.8%,2.0,0.1%,84,3.1%,40,1.5%
St Lucie,49,"2,981","2,782",93.3%,66,2.2%,4.0,0.1%,61,2.0%,49,1.6%
Sumter,7,612,600,98.0%,1,0.2%,0.0,0.0%,10,1.6%,1,0.2%
Suwannee,6,504,491,97.4%,6,1.2%,0.0,0.0%,5,1.0%,2,0.4%
Taylor,6,269,258,95.9%,7,2.6%,0.0,0.0%,3,1.1%,1,0.4%
Union,2,198,194,98.0%,1,0.5%,1.0,0.5%,2,1.0%,0,0.0%
Volusia,96,"5,066","4,776",94.3%,94,1.9%,12.0,0.2%,157,3.1%,22,0.4%
Wakulla,6,366,359,98.1%,3,0.8%,2.0,0.5%,2,0.5%,0,0.0%
Walton,13,734,694,94.6%,8,1.1%,0.0,0.0%,24,3.3%,8,1.1%
Washington,4,269,266,98.9%,1,0.4%,0.0,0.0%,2,0.7%,0,0.0%
