school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Alcona Elementary,Alcona Community Schools,Pub,Alcona,47,46,97.9,0,0,1,2.1,0,0.0,1,2.1,0,0.0,2019,MI
William G Mather Elementary School,Munising Public Schools,Pub,Alger,49,46,93.9,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Superior Central School,Superior Central Schools,Pub,Alger,20,18,90.0,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Dawson Elementary,Allegan Public Schools,Pub,Allegan,15,15,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
North Ward Elementary School,Allegan Public Schools,Pub,Allegan,42,38,90.5,0,2,2,4.8,0,0.0,1,2.4,1,2.4,2019,MI
Pine Trails Elementary School,Allegan Public Schools,Pub,Allegan,39,38,97.4,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
West Ward Elementary School,Allegan Public Schools,Pub,Allegan,37,35,94.6,1,0,1,2.7,0,0.0,0,0.0,1,2.7,2019,MI
Fennville Elementary School,Fennville Public Schools,Pub,Allegan,117,109,93.2,4,1,3,2.6,0,0.0,0,0.0,3,2.6,2019,MI
Glenn Public School,Glenn Public School District,Pub,Allegan,7,6,85.7,0,0,1,14.3,0,0.0,1,14.3,0,0.0,2019,MI
Blue Star Elementary,Hamilton Community Schools,Pub,Allegan,41,38,92.7,0,0,3,7.3,0,0.0,2,4.9,1,2.4,2019,MI
Bentheim Elementary School,Hamilton Community Schools,Pub,Allegan,78,76,97.4,1,0,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Sandyview Elementary School,Hamilton Community Schools,Pub,Allegan,17,17,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Hamilton Elementary School,Hamilton Community Schools,Pub,Allegan,67,65,97.0,0,0,2,3.0,0,0.0,1,1.5,1,1.5,2019,MI
Hamilton Virtual School,Hamilton Community Schools,Pub,Allegan,52,42,80.8,1,1,8,15.4,0,0.0,3,5.8,5,9.6,2019,MI
Sycamore Elementary School,Hopkins Public Schools,Pub,Allegan,40,39,97.5,0,0,1,2.5,0,0.0,0,0.0,1,2.5,2019,MI
Hopkins Elementary School,Hopkins Public Schools,Pub,Allegan,83,82,98.8,0,0,1,1.2,1,1.2,0,0.0,0,0.0,2019,MI
St Mary's Visitation School,Hopkins Public Schools,Priv,Allegan,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Innocademy Allegan Campus,Innocademy Allegan Campus,Pub,Allegan,10,10,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Robert D Brandon Elem School,Martin Public Schools,Pub,Allegan,41,39,95.1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
East Martin Christian School,Martin Public Schools,Priv,Allegan,6,5,83.3,0,0,1,16.7,0,0.0,0,0.0,1,16.7,2019,MI
Alamo Elementary,Otsego Public Schools,Pub,Allegan,38,36,94.7,0,1,1,2.6,0,0.0,0,0.0,1,2.6,2019,MI
Dix Street Elementary,Otsego Public Schools,Pub,Allegan,68,62,91.2,0,3,3,4.4,1,1.5,1,1.5,1,1.5,2019,MI
Washington Street Elementary,Otsego Public Schools,Pub,Allegan,65,60,92.3,0,3,2,3.1,1,1.5,0,0.0,1,1.5,2019,MI
Cooper Elementary,Plainwell Community Schools,Pub,Allegan,52,52,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Starr Elementary School,Plainwell Community Schools,Pub,Allegan,102,98,96.1,0,1,3,2.9,0,0.0,1,1.0,2,2.0,2019,MI
Gilkey Elementary School,Plainwell Community Schools,Pub,Allegan,74,70,94.6,0,2,2,2.7,1,1.4,1,1.4,0,0.0,2019,MI
Douglas Elementary School,Saugatuck Public Schools,Pub,Allegan,74,70,94.6,0,2,2,2.7,0,0.0,1,1.4,1,1.4,2019,MI
