,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
5,2020,6001.0,PRESIDENT,CA,617659.0,136309.0,753968.0,0,81.92,31.92,-31.92,1510271,739.017,82.311,821.328,37.64808,-121.9133
11,2020,6003.0,PRESIDENT,CA,476.0,244.0,720.0,0,66.11,16.11,-16.11,1175,738.332,4.848,743.180,38.61761,-119.79899
17,2020,6005.0,PRESIDENT,CA,8153.0,13585.0,21738.0,1,62.49,12.49,12.49,38091,594.583,11.373,605.956,38.44355,-120.65385
23,2020,6007.0,PRESIDENT,CA,50426.0,48730.0,99156.0,0,50.86,0.86,-0.86,220000,1636.464,40.667,1677.131,39.66595,-121.60191
29,2020,6009.0,PRESIDENT,CA,10046.0,16518.0,26564.0,1,62.18,12.18,12.18,45578,1020.012,16.915,1036.927,38.18784,-120.55511
35,2020,6011.0,PRESIDENT,CA,3239.0,4559.0,7798.0,1,58.46,8.46,8.46,21419,1150.731,5.630,1156.361,39.17773,-122.23756
41,2020,6013.0,PRESIDENT,CA,416386.0,152877.0,569263.0,0,73.14,23.14,-23.14,1049025,715.937,87.833,803.770,37.91947,-121.95154
47,2020,6015.0,PRESIDENT,CA,4677.0,6461.0,11138.0,1,58.01,8.01,8.01,28610,1006.373,223.370,1229.743,41.7499,-123.98099
53,2020,6017.0,PRESIDENT,CA,51621.0,61838.0,113459.0,1,54.5,4.5,4.5,181058,1707.883,78.473,1786.356,38.78553,-120.53439
59,2020,6019.0,PRESIDENT,CA,193025.0,164464.0,357489.0,0,53.99,3.99,-3.99,930450,5957.991,53.211,6011.202,36.761,-119.65501
65,2020,6021.0,PRESIDENT,CA,3995.0,7063.0,11058.0,1,63.87,13.87,13.87,28122,1313.947,13.031,1326.978,39.60254,-122.4017
71,2020,6023.0,PRESIDENT,CA,44768.0,21770.0,66538.0,0,67.28,17.28,-17.28,134623,3567.987,484.271,4052.258,40.70667,-123.92581
77,2020,6025.0,PRESIDENT,CA,34678.0,20847.0,55525.0,0,62.45,12.45,-12.45,174528,4176.603,305.116,4481.719,33.04081,-115.35539
83,2020,6027.0,PRESIDENT,CA,4634.0,4620.0,9254.0,0,50.08,0.08,-0.08,18546,10180.879,46.026,10226.905,36.56197,-117.40392
89,2020,6029.0,PRESIDENT,CA,133366.0,164484.0,297850.0,1,55.22,5.22,5.22,839631,8131.916,30.725,8162.641,35.34662,-118.7295
95,2020,6031.0,PRESIDENT,CA,18699.0,24072.0,42771.0,1,56.28,6.28,6.28,152982,1389.420,2.111,1391.531,36.07247,-119.81553
101,2020,6033.0,PRESIDENT,CA,14941.0,13123.0,28064.0,0,53.24,3.24,-3.24,64665,1256.464,72.959,1329.423,39.0948,-122.74675
107,2020,6035.0,PRESIDENT,CA,2799.0,8970.0,11769.0,1,76.22,26.22,26.22,34895,4541.184,178.935,4720.119,40.72108,-120.62993
113,2020,6037.0,PRESIDENT,CA,3028885.0,1145530.0,4174415.0,0,72.56,22.56,-22.56,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
119,2020,6039.0,PRESIDENT,CA,23168.0,29378.0,52546.0,1,55.91,5.91,5.91,150865,2137.069,16.200,2153.269,37.21003,-119.74985
125,2020,6041.0,PRESIDENT,CA,128288.0,24612.0,152900.0,0,83.9,33.9,-33.9,252409,520.306,307.886,828.192,38.05181,-122.74597
131,2020,6043.0,PRESIDENT,CA,4088.0,5950.0,10038.0,1,59.27,9.27,9.27,18251,1448.816,14.004,1462.820,37.57003,-119.91286
137,2020,6045.0,PRESIDENT,CA,28782.0,13267.0,42049.0,0,68.45,18.45,-18.45,87841,3506.343,371.798,3878.141,39.43238,-123.44288
143,2020,6047.0,PRESIDENT,CA,48991.0,39397.0,88388.0,0,55.43,5.43,-5.43,255793,1934.972,43.537,1978.509,37.1948,-120.7228
149,2020,6049.0,PRESIDENT,CA,1150.0,3109.0,4259.0,1,73.0,23.0,23.0,9686,3917.770,285.629,4203.399,41.59291,-120.71837
155,2020,6051.0,PRESIDENT,CA,4013.0,2513.0,6526.0,0,61.49,11.49,-11.49,14202,3048.982,82.894,3131.876,37.91583,-118.87516
161,2020,6053.0,PRESIDENT,CA,113953.0,46299.0,160252.0,0,71.11,21.11,-21.11,415057,3280.595,490.626,3771.221,36.2401,-121.31557
167,2020,6055.0,PRESIDENT,CA,49817.0,20676.0,70493.0,0,70.67,20.67,-20.67,136484,748.362,40.220,788.582,38.50735,-122.32599
173,2020,6057.0,PRESIDENT,CA,36359.0,26779.0,63138.0,0,57.59,7.59,-7.59,98764,957.772,16.029,973.801,39.29519,-120.77344
179,2020,6059.0,PRESIDENT,CA,814009.0,676498.0,1490507.0,0,54.61,4.61,-4.61,3010232,790.568,157.498,948.066,33.67568,-117.7772
185,2020,6061.0,PRESIDENT,CA,106869.0,122488.0,229357.0,1,53.4,3.4,3.4,348432,1407.009,95.447,1502.456,39.06203,-120.72271
191,2020,6063.0,PRESIDENT,CA,4561.0,6445.0,11006.0,1,58.56,8.56,8.56,20007,2553.043,60.385,2613.428,39.99517,-120.82951
