fips,vax_percentage
12001,0.938
12003,0.986
12005,0.9640000000000001
12007,0.96
12009,0.9570000000000001
12011,0.9420000000000001
12013,0.97
12015,0.9470000000000001
12017,0.95
12019,0.973
12021,0.95
12023,0.9109999999999999
12027,0.96
12029,0.978
12031,0.9109999999999999
12033,0.956
12035,0.9440000000000001
12037,0.9009999999999999
12039,0.977
12041,0.9420000000000001
12043,0.9620000000000001
12045,0.981
12047,0.981
12049,0.993
12051,0.946
12053,0.932
12055,0.973
12057,0.919
12059,0.975
12061,0.937
12063,0.9790000000000001
12065,0.963
12067,0.9790000000000001
12069,0.95
12071,0.953
12073,0.9329999999999999
12075,0.934
12077,0.971
12079,0.99
12081,0.958
12083,0.9520000000000001
12085,0.93
12086,0.925
12087,0.9420000000000001
12089,0.953
12091,0.958
12093,0.981
12095,0.937
12097,0.938
12099,0.907
12101,0.95
12103,0.945
12105,0.963
12107,0.9620000000000001
12113,0.945
12115,0.9309999999999999
12117,0.934
12109,0.9309999999999999
12111,0.9329999999999999
12119,0.98
12121,0.9740000000000001
12123,0.9590000000000001
12125,0.98
12127,0.943
12129,0.981
12131,0.946
12133,0.9890000000000001
