,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_margin,win_percentage,State,County [2],Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
0,2000,6001,PRESIDENT,CA,342889.0,119279.0,462168.0,0,24.189999999999998,74.19,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
1,2004,6001,PRESIDENT,CA,422585.0,130911.0,553496.0,0,26.349999999999994,76.35,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
2,2008,6001,PRESIDENT,CA,489106.0,119555.0,608661.0,0,30.36,80.36,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
3,2012,6001,PRESIDENT,CA,469684.0,108182.0,577866.0,0,31.28,81.28,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
4,2016,6001,PRESIDENT,CA,514842.0,95922.0,610764.0,0,34.290000000000006,84.29,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
5,2020,6001,PRESIDENT,CA,617659.0,136309.0,753968.0,0,31.92,81.92,CA,Alameda,1510271,739.017,82.311,821.328,37.64808,-121.9133
6,2000,6003,PRESIDENT,CA,265.0,281.0,546.0,1,1.4699999999999989,51.47,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
7,2004,6003,PRESIDENT,CA,373.0,311.0,684.0,0,4.530000000000001,54.53,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
8,2008,6003,PRESIDENT,CA,422.0,252.0,674.0,0,12.61,62.61,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
9,2012,6003,PRESIDENT,CA,389.0,236.0,625.0,0,12.240000000000002,62.24,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
10,2016,6003,PRESIDENT,CA,334.0,217.0,551.0,0,10.619999999999997,60.62,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
11,2020,6003,PRESIDENT,CA,476.0,244.0,720.0,0,16.11,66.11,CA,Alpine,1175,738.332,4.848,743.180,38.61761,-119.79899
12,2000,6005,PRESIDENT,CA,5906.0,8766.0,14672.0,1,9.75,59.75,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
13,2004,6005,PRESIDENT,CA,6211.0,10479.0,16690.0,1,12.79,62.79,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
14,2008,6005,PRESIDENT,CA,7813.0,10561.0,18374.0,1,7.479999999999997,57.48,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
15,2012,6005,PRESIDENT,CA,6830.0,10281.0,17111.0,1,10.079999999999998,60.08,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
16,2016,6005,PRESIDENT,CA,6004.0,10485.0,16489.0,1,13.590000000000003,63.59,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
17,2020,6005,PRESIDENT,CA,8153.0,13585.0,21738.0,1,12.490000000000002,62.49,CA,Amador,38091,594.583,11.373,605.956,38.44355,-120.65385
18,2000,6007,PRESIDENT,CA,31338.0,45584.0,76922.0,1,9.259999999999998,59.26,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
19,2004,6007,PRESIDENT,CA,42448.0,51662.0,94110.0,1,4.899999999999999,54.9,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
20,2008,6007,PRESIDENT,CA,49013.0,46706.0,95719.0,0,1.2100000000000009,51.21,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
21,2012,6007,PRESIDENT,CA,42669.0,44479.0,87148.0,1,1.0399999999999991,51.04,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
22,2016,6007,PRESIDENT,CA,41567.0,45144.0,86711.0,1,2.0600000000000023,52.06,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
23,2020,6007,PRESIDENT,CA,50426.0,48730.0,99156.0,0,0.8599999999999994,50.86,CA,Butte,220000,1636.464,40.667,1677.131,39.66595,-121.60191
