,year,FIPS,office,state_x,dem_votes,rep_votes,county_x,total_votes,target,win_percentage,win_margin,skew,skew_diff,county_y,state_y
5,2020,6001.0,PRESIDENT,CA,617659.0,136309.0,ALAMEDA,753968.0,0,81.92,31.92,-31.92,7.834999999999999,ALAMEDA,CA
11,2020,6003.0,PRESIDENT,CA,476.0,244.0,ALPINE,720.0,0,66.11,16.11,-16.11,11.834999999999999,ALPINE,CA
17,2020,6005.0,PRESIDENT,CA,8153.0,13585.0,AMADOR,21738.0,1,62.49,12.49,12.49,2.0699999999999994,AMADOR,CA
23,2020,6007.0,PRESIDENT,CA,50426.0,48730.0,BUTTE,99156.0,0,50.86,0.86,-0.86,6.48,BUTTE,CA
29,2020,6009.0,PRESIDENT,CA,10046.0,16518.0,CALAVERAS,26564.0,1,62.18,12.18,12.18,1.5499999999999998,CALAVERAS,CA
35,2020,6011.0,PRESIDENT,CA,3239.0,4559.0,COLUSA,7798.0,1,58.46,8.46,8.46,9.965,COLUSA,CA
41,2020,6013.0,PRESIDENT,CA,416386.0,152877.0,CONTRA COSTA,569263.0,0,73.14,23.14,-23.14,11.045,CONTRA COSTA,CA
47,2020,6015.0,PRESIDENT,CA,4677.0,6461.0,DEL NORTE,11138.0,1,58.01,8.01,8.01,0.21999999999999975,DEL NORTE,CA
53,2020,6017.0,PRESIDENT,CA,51621.0,61838.0,EL DORADO,113459.0,1,54.5,4.5,4.5,5.8549999999999995,EL DORADO,CA
59,2020,6019.0,PRESIDENT,CA,193025.0,164464.0,FRESNO,357489.0,0,53.99,3.99,-3.99,10.21,FRESNO,CA
65,2020,6021.0,PRESIDENT,CA,3995.0,7063.0,GLENN,11058.0,1,63.87,13.87,13.87,4.219999999999999,GLENN,CA
71,2020,6023.0,PRESIDENT,CA,44768.0,21770.0,HUMBOLDT,66538.0,0,67.28,17.28,-17.28,10.16,HUMBOLDT,CA
77,2020,6025.0,PRESIDENT,CA,34678.0,20847.0,IMPERIAL,55525.0,0,62.45,12.45,-12.45,12.305,IMPERIAL,CA
83,2020,6027.0,PRESIDENT,CA,4634.0,4620.0,INYO,9254.0,0,50.08,0.08,-0.08,8.42,INYO,CA
89,2020,6029.0,PRESIDENT,CA,133366.0,164484.0,KERN,297850.0,1,55.22,5.22,5.22,8.915000000000001,KERN,CA
95,2020,6031.0,PRESIDENT,CA,18699.0,24072.0,KINGS,42771.0,1,56.28,6.28,6.28,6.1800000000000015,KINGS,CA
101,2020,6033.0,PRESIDENT,CA,14941.0,13123.0,LAKE,28064.0,0,53.24,3.24,-3.24,2.0549999999999997,LAKE,CA
107,2020,6035.0,PRESIDENT,CA,2799.0,8970.0,LASSEN,11769.0,1,76.22,26.22,26.22,5.574999999999999,LASSEN,CA
113,2020,6037.0,PRESIDENT,CA,3028885.0,1145530.0,LOS ANGELES,4174415.0,0,72.56,22.56,-22.56,9.295,LOS ANGELES,CA
119,2020,6039.0,PRESIDENT,CA,23168.0,29378.0,MADERA,52546.0,1,55.91,5.91,5.91,7.3149999999999995,MADERA,CA
125,2020,6041.0,PRESIDENT,CA,128288.0,24612.0,MARIN,152900.0,0,83.9,33.9,-33.9,11.780000000000001,MARIN,CA
131,2020,6043.0,PRESIDENT,CA,4088.0,5950.0,MARIPOSA,10038.0,1,59.27,9.27,9.27,1.29,MARIPOSA,CA
137,2020,6045.0,PRESIDENT,CA,28782.0,13267.0,MENDOCINO,42049.0,0,68.45,18.45,-18.45,6.2799999999999985,MENDOCINO,CA
143,2020,6047.0,PRESIDENT,CA,48991.0,39397.0,MERCED,88388.0,0,55.43,5.43,-5.43,11.31,MERCED,CA
149,2020,6049.0,PRESIDENT,CA,1150.0,3109.0,MODOC,4259.0,1,73.0,23.0,23.0,0.5999999999999996,MODOC,CA
155,2020,6051.0,PRESIDENT,CA,4013.0,2513.0,MONO,6526.0,0,61.49,11.49,-11.49,12.21,MONO,CA
161,2020,6053.0,PRESIDENT,CA,113953.0,46299.0,MONTEREY,160252.0,0,71.11,21.11,-21.11,10.564999999999998,MONTEREY,CA
167,2020,6055.0,PRESIDENT,CA,49817.0,20676.0,NAPA,70493.0,0,70.67,20.67,-20.67,10.92,NAPA,CA
173,2020,6057.0,PRESIDENT,CA,36359.0,26779.0,NEVADA,63138.0,0,57.59,7.59,-7.59,12.079999999999998,NEVADA,CA
179,2020,6059.0,PRESIDENT,CA,814009.0,676498.0,ORANGE,1490507.0,0,54.61,4.61,-4.61,13.855,ORANGE,CA
185,2020,6061.0,PRESIDENT,CA,106869.0,122488.0,PLACER,229357.0,1,53.4,3.4,3.4,7.8549999999999995,PLACER,CA
191,2020,6063.0,PRESIDENT,CA,4561.0,6445.0,PLUMAS,11006.0,1,58.56,8.56,8.56,3.8500000000000005,PLUMAS,CA
197,2020,6065.0,PRESIDENT,CA,528340.0,449144.0,RIVERSIDE,977484.0,0,54.05,4.05,-4.05,9.395,RIVERSIDE,CA
203,2020,6067.0,PRESIDENT,CA,440808.0,259405.0,SACRAMENTO,700213.0,0,62.95,12.95,-12.95,11.97,SACRAMENTO,CA
209,2020,6069.0,PRESIDENT,CA,17628.0,10590.0,SAN BENITO,28218.0,0,62.47,12.47,-12.47,7.15,SAN BENITO,CA
215,2020,6071.0,PRESIDENT,CA,455859.0,366257.0,SAN BERNARDINO,822116.0,0,55.45,5.45,-5.45,8.945,SAN BERNARDINO,CA
221,2020,6073.0,PRESIDENT,CA,964650.0,600094.0,SAN DIEGO,1564744.0,0,61.65,11.65,-11.65,13.725,SAN DIEGO,CA
227,2020,6075.0,PRESIDENT,CA,378156.0,56417.0,SAN FRANCISCO,434573.0,0,87.02,37.02,-37.02,5.109999999999999,SAN FRANCISCO,CA
238,2020,6079.0,PRESIDENT,CA,88310.0,67436.0,SAN LUIS OBISPO,155746.0,0,56.7,6.7,-6.7,10.434999999999999,SAN LUIS OBISPO,CA
244,2020,6081.0,PRESIDENT,CA,291496.0,75584.0,SAN MATEO,367080.0,0,79.41,29.41,-29.41,10.975000000000001,SAN MATEO,CA
250,2020,6083.0,PRESIDENT,CA,129963.0,65736.0,SANTA BARBARA,195699.0,0,66.41,16.41,-16.41,13.620000000000001,SANTA BARBARA,CA
256,2020,6085.0,PRESIDENT,CA,617967.0,214612.0,SANTA CLARA,832579.0,0,74.22,24.22,-24.22,11.75,SANTA CLARA,CA
262,2020,6087.0,PRESIDENT,CA,114246.0,26937.0,SANTA CRUZ,141183.0,0,80.92,30.92,-30.92,9.020000000000001,SANTA CRUZ,CA
268,2020,6089.0,PRESIDENT,CA,30000.0,60789.0,SHASTA,90789.0,1,66.96,16.96,16.96,1.4499999999999975,SHASTA,CA
274,2020,6091.0,PRESIDENT,CA,730.0,1142.0,SIERRA,1872.0,1,61.0,11.0,11.0,4.91,SIERRA,CA
280,2020,6093.0,PRESIDENT,CA,9593.0,13290.0,SISKIYOU,22883.0,1,58.08,8.08,8.08,4.1899999999999995,SISKIYOU,CA
286,2020,6095.0,PRESIDENT,CA,131639.0,69306.0,SOLANO,200945.0,0,65.51,15.51,-15.51,7.425000000000001,SOLANO,CA
292,2020,6097.0,PRESIDENT,CA,199938.0,61825.0,SONOMA,261763.0,0,76.38,26.38,-26.38,9.375,SONOMA,CA
298,2020,6099.0,PRESIDENT,CA,105841.0,104145.0,STANISLAUS,209986.0,0,50.4,0.4,-0.4,7.465000000000001,STANISLAUS,CA
304,2020,6101.0,PRESIDENT,CA,17367.0,24375.0,SUTTER,41742.0,1,58.39,8.39,8.39,9.315,SUTTER,CA
310,2020,6103.0,PRESIDENT,CA,8911.0,19141.0,TEHAMA,28052.0,1,68.23,18.23,18.23,1.5599999999999987,TEHAMA,CA
316,2020,6105.0,PRESIDENT,CA,2851.0,3188.0,TRINITY,6039.0,1,52.79,2.79,2.79,5.369999999999999,TRINITY,CA
322,2020,6107.0,PRESIDENT,CA,66105.0,77579.0,TULARE,143684.0,1,53.99,3.99,3.99,9.93,TULARE,CA
328,2020,6109.0,PRESIDENT,CA,11978.0,17689.0,TUOLUMNE,29667.0,1,59.63,9.63,9.63,2.1399999999999997,TUOLUMNE,CA
334,2020,6111.0,PRESIDENT,CA,251388.0,162207.0,VENTURA,413595.0,0,60.78,10.78,-10.78,11.334999999999999,VENTURA,CA
340,2020,6113.0,PRESIDENT,CA,67598.0,27292.0,YOLO,94890.0,0,71.24,21.24,-21.24,11.93,YOLO,CA
346,2020,6115.0,PRESIDENT,CA,11230.0,17676.0,YUBA,28906.0,1,61.15,11.15,11.15,4.1499999999999995,YUBA,CA
352,2020,12001.0,PRESIDENT,FL,89704.0,50972.0,ALACHUA,140676.0,0,63.77,13.77,-13.77,5.3950000000000005,ALACHUA,FL
358,2020,12003.0,PRESIDENT,FL,2037.0,11911.0,BAKER,13948.0,1,85.4,35.4,35.4,10.124999999999998,BAKER,FL
364,2020,12005.0,PRESIDENT,FL,25614.0,66097.0,BAY,91711.0,1,72.07,22.07,22.07,3.5999999999999996,BAY,FL
370,2020,12007.0,PRESIDENT,FL,3160.0,10334.0,BRADFORD,13494.0,1,76.58,26.58,26.58,9.065000000000001,BRADFORD,FL
376,2020,12009.0,PRESIDENT,FL,148549.0,207883.0,BREVARD,356432.0,1,58.32,8.32,8.32,3.1550000000000007,BREVARD,FL
382,2020,12011.0,PRESIDENT,FL,618752.0,333409.0,BROWARD,952161.0,0,64.98,14.98,-14.98,0.3050000000000006,BROWARD,FL
388,2020,12013.0,PRESIDENT,FL,1209.0,5274.0,CALHOUN,6483.0,1,81.35,31.35,31.35,19.520000000000003,CALHOUN,FL
394,2020,12015.0,PRESIDENT,FL,42273.0,73243.0,CHARLOTTE,115516.0,1,63.41,13.41,13.41,8.399999999999999,CHARLOTTE,FL
400,2020,12017.0,PRESIDENT,FL,27092.0,65352.0,CITRUS,92444.0,1,70.69,20.69,20.69,14.96,CITRUS,FL
406,2020,12019.0,PRESIDENT,FL,38317.0,84480.0,CLAY,122797.0,1,68.8,18.8,18.8,4.449999999999999,CLAY,FL
412,2020,12021.0,PRESIDENT,FL,77621.0,128950.0,COLLIER,206571.0,1,62.42,12.42,12.42,3.37,COLLIER,FL
418,2020,12023.0,PRESIDENT,FL,8914.0,23836.0,COLUMBIA,32750.0,1,72.78,22.78,22.78,8.565000000000001,COLUMBIA,FL
424,2020,12027.0,PRESIDENT,FL,4259.0,8313.0,DESOTO,12572.0,1,66.12,16.12,16.12,7.795000000000001,DESOTO,FL
430,2020,12029.0,PRESIDENT,FL,1365.0,6759.0,DIXIE,8124.0,1,83.2,33.2,33.2,18.155,DIXIE,FL
436,2020,12031.0,PRESIDENT,FL,252556.0,233762.0,DUVAL,486318.0,0,51.93,1.93,-1.93,8.93,DUVAL,FL
442,2020,12033.0,PRESIDENT,FL,70929.0,96674.0,ESCAMBIA,167603.0,1,57.68,7.68,7.68,5.805,ESCAMBIA,FL
448,2020,12035.0,PRESIDENT,FL,28161.0,43043.0,FLAGLER,71204.0,1,60.45,10.45,10.45,11.035,FLAGLER,FL
454,2020,12037.0,PRESIDENT,FL,2120.0,4675.0,FRANKLIN,6795.0,1,68.8,18.8,18.8,12.715,FRANKLIN,FL
460,2020,12039.0,PRESIDENT,FL,16153.0,7465.0,GADSDEN,23618.0,0,68.39,18.39,-18.39,1.799999999999999,GADSDEN,FL
466,2020,12041.0,PRESIDENT,FL,1700.0,7895.0,GILCHRIST,9595.0,1,82.28,32.28,32.28,15.085,GILCHRIST,FL
472,2020,12043.0,PRESIDENT,FL,1385.0,3782.0,GLADES,5167.0,1,73.2,23.2,23.2,14.309999999999999,GLADES,FL
478,2020,12045.0,PRESIDENT,FL,1985.0,6113.0,GULF,8098.0,1,75.49,25.49,25.49,12.385000000000002,GULF,FL
484,2020,12047.0,PRESIDENT,FL,1963.0,3815.0,HAMILTON,5778.0,1,66.03,16.03,16.03,9.835,HAMILTON,FL
490,2020,12049.0,PRESIDENT,FL,2298.0,6122.0,HARDEE,8420.0,1,72.71,22.71,22.71,5.905000000000001,HARDEE,FL
