,year,FIPS,office,state,dem_votes,rep_votes,county
0,2000,6001.0,PRESIDENT,CA,342889.0,119279.0,ALAMEDA
0,2000,6003.0,PRESIDENT,CA,265.0,281.0,ALPINE
0,2000,6005.0,PRESIDENT,CA,5906.0,8766.0,AMADOR
0,2000,6007.0,PRESIDENT,CA,31338.0,45584.0,BUTTE
0,2000,6009.0,PRESIDENT,CA,7093.0,10599.0,CALAVERAS
0,2000,6011.0,PRESIDENT,CA,1745.0,3629.0,COLUSA
0,2000,6013.0,PRESIDENT,CA,224338.0,141373.0,CONTRA COSTA
0,2000,6015.0,PRESIDENT,CA,3117.0,4526.0,DEL NORTE
0,2000,6017.0,PRESIDENT,CA,26220.0,42045.0,EL DORADO
0,2000,6019.0,PRESIDENT,CA,95059.0,117342.0,FRESNO
0,2000,6021.0,PRESIDENT,CA,2498.0,5795.0,GLENN
0,2000,6023.0,PRESIDENT,CA,24851.0,23219.0,HUMBOLDT
0,2000,6025.0,PRESIDENT,CA,15489.0,12524.0,IMPERIAL
0,2000,6027.0,PRESIDENT,CA,2652.0,4713.0,INYO
0,2000,6029.0,PRESIDENT,CA,66003.0,110663.0,KERN
0,2000,6031.0,PRESIDENT,CA,11041.0,16377.0,KINGS
0,2000,6033.0,PRESIDENT,CA,10717.0,8699.0,LAKE
0,2000,6035.0,PRESIDENT,CA,2982.0,7080.0,LASSEN
0,2000,6037.0,PRESIDENT,CA,1710505.0,871930.0,LOS ANGELES
0,2000,6039.0,PRESIDENT,CA,11650.0,20283.0,MADERA
0,2000,6041.0,PRESIDENT,CA,79135.0,34872.0,MARIN
0,2000,6043.0,PRESIDENT,CA,2816.0,4727.0,MARIPOSA
0,2000,6045.0,PRESIDENT,CA,16634.0,12272.0,MENDOCINO
0,2000,6047.0,PRESIDENT,CA,22726.0,26102.0,MERCED
0,2000,6049.0,PRESIDENT,CA,945.0,2969.0,MODOC
0,2000,6051.0,PRESIDENT,CA,1788.0,2296.0,MONO
0,2000,6053.0,PRESIDENT,CA,67618.0,43761.0,MONTEREY
0,2000,6055.0,PRESIDENT,CA,28097.0,20633.0,NAPA
0,2000,6057.0,PRESIDENT,CA,17670.0,25998.0,NEVADA
0,2000,6059.0,PRESIDENT,CA,391819.0,541299.0,ORANGE
0,2000,6061.0,PRESIDENT,CA,42449.0,69835.0,PLACER
0,2000,6063.0,PRESIDENT,CA,3458.0,6343.0,PLUMAS
0,2000,6065.0,PRESIDENT,CA,202576.0,231955.0,RIVERSIDE
0,2000,6067.0,PRESIDENT,CA,212792.0,195619.0,SACRAMENTO
0,2000,6069.0,PRESIDENT,CA,9131.0,7015.0,SAN BENITO
0,2000,6071.0,PRESIDENT,CA,214749.0,221757.0,SAN BERNARDINO
0,2000,6073.0,PRESIDENT,CA,437666.0,475736.0,SAN DIEGO
0,2000,6075.0,PRESIDENT,CA,241578.0,51496.0,SAN FRANCISCO
0,2000,6077.0,PRESIDENT,CA,79776.0,81773.0,SAN JOAQUIN
0,2000,6079.0,PRESIDENT,CA,44526.0,56859.0,SAN LUIS OBISPO
0,2000,6081.0,PRESIDENT,CA,166757.0,80296.0,SAN MATEO
0,2000,6083.0,PRESIDENT,CA,73411.0,71493.0,SANTA BARBARA
0,2000,6085.0,PRESIDENT,CA,332490.0,188750.0,SANTA CLARA
0,2000,6087.0,PRESIDENT,CA,66618.0,29627.0,SANTA CRUZ
0,2000,6089.0,PRESIDENT,CA,20127.0,43278.0,SHASTA
0,2000,6091.0,PRESIDENT,CA,540.0,1172.0,SIERRA
0,2000,6093.0,PRESIDENT,CA,6323.0,12198.0,SISKIYOU
0,2000,6095.0,PRESIDENT,CA,75116.0,51604.0,SOLANO
0,2000,6097.0,PRESIDENT,CA,117295.0,63529.0,SONOMA
0,2000,6099.0,PRESIDENT,CA,56448.0,67188.0,STANISLAUS
0,2000,6101.0,PRESIDENT,CA,8416.0,17350.0,SUTTER
0,2000,6103.0,PRESIDENT,CA,6507.0,13270.0,TEHAMA
0,2000,6105.0,PRESIDENT,CA,1932.0,3340.0,TRINITY
0,2000,6107.0,PRESIDENT,CA,33006.0,54070.0,TULARE
0,2000,6109.0,PRESIDENT,CA,9359.0,13172.0,TUOLUMNE
0,2000,6111.0,PRESIDENT,CA,133258.0,136173.0,VENTURA
0,2000,6113.0,PRESIDENT,CA,33747.0,23057.0,YOLO
0,2000,6115.0,PRESIDENT,CA,5546.0,9838.0,YUBA
0,2000,12001.0,PRESIDENT,FL,47365.0,34124.0,ALACHUA
0,2000,12003.0,PRESIDENT,FL,2392.0,5610.0,BAKER
0,2000,12005.0,PRESIDENT,FL,18850.0,38637.0,BAY
0,2000,12007.0,PRESIDENT,FL,3075.0,5414.0,BRADFORD
0,2000,12009.0,PRESIDENT,FL,97318.0,115185.0,BREVARD
0,2000,12011.0,PRESIDENT,FL,387703.0,177902.0,BROWARD
0,2000,12013.0,PRESIDENT,FL,2155.0,2873.0,CALHOUN
0,2000,12015.0,PRESIDENT,FL,29645.0,35426.0,CHARLOTTE
0,2000,12017.0,PRESIDENT,FL,25525.0,29767.0,CITRUS
0,2000,12019.0,PRESIDENT,FL,14632.0,41736.0,CLAY
0,2000,12021.0,PRESIDENT,FL,29921.0,60450.0,COLLIER
0,2000,12023.0,PRESIDENT,FL,7047.0,10964.0,COLUMBIA
0,2000,12027.0,PRESIDENT,FL,3320.0,4256.0,DESOTO
0,2000,12029.0,PRESIDENT,FL,1826.0,2697.0,DIXIE
0,2000,12031.0,PRESIDENT,FL,107864.0,152098.0,DUVAL
0,2000,12033.0,PRESIDENT,FL,40943.0,73017.0,ESCAMBIA
0,2000,12035.0,PRESIDENT,FL,13897.0,12613.0,FLAGLER
0,2000,12037.0,PRESIDENT,FL,2046.0,2454.0,FRANKLIN
0,2000,12039.0,PRESIDENT,FL,9735.0,4767.0,GADSDEN
0,2000,12041.0,PRESIDENT,FL,1910.0,3300.0,GILCHRIST
0,2000,12043.0,PRESIDENT,FL,1442.0,1841.0,GLADES
0,2000,12045.0,PRESIDENT,FL,2397.0,3550.0,GULF
0,2000,12047.0,PRESIDENT,FL,1722.0,2146.0,HAMILTON
0,2000,12049.0,PRESIDENT,FL,2339.0,3765.0,HARDEE
0,2000,12051.0,PRESIDENT,FL,3240.0,4747.0,HENDRY
0,2000,12053.0,PRESIDENT,FL,32644.0,30646.0,HERNANDO
0,2000,12055.0,PRESIDENT,FL,14167.0,20206.0,HIGHLANDS
0,2000,12057.0,PRESIDENT,FL,169557.0,180760.0,HILLSBOROUGH
0,2000,12059.0,PRESIDENT,FL,2177.0,5011.0,HOLMES
0,2000,12061.0,PRESIDENT,FL,19768.0,28635.0,INDIAN RIVER
0,2000,12063.0,PRESIDENT,FL,6868.0,9138.0,JACKSON
0,2000,12065.0,PRESIDENT,FL,3041.0,2478.0,JEFFERSON
