,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
3064,44.335,54059.0,MINGO,WV,26839,423.968,37.72115,-82.15899
1095,43.525,21119.0,KNOTT,KY,16346,352.852,37.3547,-82.94913
3058,42.53,54047.0,MCDOWELL,WV,22113,534.899,37.38266,-81.6582
1067,42.04,21063.0,ELLIOTT,KY,7852,235.323,38.11642,-83.09754
2500,42.03,47061.0,GRUNDY,TN,13703,361.122,35.38727,-85.72218
2513,41.345,47087.0,JACKSON,TN,11638,319.525,36.35424,-85.67418
1071,40.075,21071.0,FLOYD,KY,39451,395.706,37.55828,-82.74033
3057,39.9,54045.0,LOGAN,WV,36743,455.616,37.83059,-81.94085
3037,38.335,54005.0,BOONE,WV,24629,503.196,38.02283,-81.71331
2549,37.73,47159.0,SMITH,TN,19166,325.373,36.25565,-85.94207
2511,37.335,47083.0,HOUSTON,TN,8426,206.974,36.28577,-87.7056
1133,35.375,21195.0,PIKE,KY,65024,788.670,37.48206,-82.40286
3089,35.129999999999995,54109.0,WYOMING,WV,23796,501.819,37.60371,-81.54888
3085,35.010000000000005,54101.0,WEBSTER,WV,9154,556.228,38.49298,-80.43026
2557,34.995,47175.0,VAN BUREN,TN,5548,274.532,35.69924,-85.45841
2472,34.910000000000004,47005.0,BENTON,TN,16489,436.231,36.06925,-88.07121
2537,34.91,47135.0,PERRY,TN,7915,422.872,35.65978,-87.87702
2536,34.865,47133.0,OVERTON,TN,22083,434.834,36.34485,-85.28307
2875,34.815,51027.0,BUCHANAN,VA,24098,503.843,37.26812,-82.03815
2554,34.615,47169.0,TROUSDALE,TN,7870,116.643,36.39303,-86.15669
2550,34.415,47161.0,STEWART,TN,13324,493.011,36.51175,-87.85154
2512,34.19,47085.0,HUMPHREYS,TN,18538,556.702,36.04044,-87.79062
2490,32.61,47041.0,DEKALB,TN,18723,328.987,35.98222,-85.83359
552,32.515,13247.0,ROCKDALE,GA,85215,132.098,33.65208,-84.02637
1083,32.22,21095.0,HARLAN,KY,29278,468.151,36.85922,-83.22149
1048,31.86,21025.0,BREATHITT,KY,13878,495.267,37.52117,-83.3224
2477,31.529999999999998,47015.0,CANNON,TN,13801,265.696,35.80839,-86.0624
1102,31.34,21133.0,LETCHER,KY,24519,339.033,37.1185,-82.86117
2510,31.244999999999997,47081.0,HICKMAN,TN,24690,612.628,35.80239,-87.46711
2489,31.020000000000003,47039.0,DECATUR,TN,11757,344.883,35.60342,-88.10738
2476,30.879999999999995,47013.0,CAMPBELL,TN,40716,498.146,36.40159,-84.15925
2545,30.805,47151.0,SCOTT,TN,22228,533.229,36.43723,-84.49838
2483,30.595,47027.0,CLAY,TN,7861,259.343,36.54576,-85.54571
2141,30.294999999999998,39111.0,MONROE,OH,14642,457.458,39.72596,-81.09065
71,30.275,1071.0,JACKSON,AL,53227,1126.771,34.76352,-85.9774
70,30.275,1071.0,JACKSON,AL,53227,1126.771,34.76352,-85.9774
2562,30.2,47185.0,WHITE,TN,25841,379.425,35.92706,-85.45576
3056,29.855,54043.0,LINCOLN,WV,21720,438.593,38.17165,-82.07754
505,29.740000000000002,13151.0,HENRY,GA,203922,326.547,33.45288,-84.15444
1635,29.700000000000003,29221.0,WASHINGTON,MO,25195,762.489,37.94231,-90.89705
2534,28.720000000000006,47129.0,MORGAN,TN,21987,522.493,36.13869,-84.63926
2520,28.67,47101.0,LEWIS,TN,12161,282.487,35.52324,-87.49698
2887,28.11,51051.0,DICKENSON,VA,15903,333.662,37.13708,-82.3492
2525,28.035,47111.0,MACON,TN,22248,307.239,36.53783,-86.00123
2973,27.66,51660.0,HARRISONBURG,VA,48914,17.476,38.43601,-78.87419
667,27.295,17059.0,GALLATIN,IL,5589,328.182,37.76867,-88.22796
2740,27.259999999999998,48351.0,NEWTON,TX,14445,939.728,30.78671,-93.73925
1548,27.21,29045.0,CLARK,MO,7139,511.825,40.40727,-91.72947
2533,27.21,47127.0,MOORE,TN,6362,130.417,35.28888,-86.35868
1132,27.195,21193.0,PERRY,KY,28712,342.610,37.24128,-83.21777
3041,27.18,54013.0,CALHOUN,WV,7627,280.679,38.84415,-81.11547
139,27.1,2020.0,DISTRICT 20,AK,291826,1961.001,61.17754,-149.27435
138,27.1,2020.0,DISTRICT 20,AK,291826,1961.001,61.17754,-149.27435
3068,26.7,54067.0,NICHOLAS,WV,26233,654.407,38.29141,-80.79751
1039,26.46,21007.0,BALLARD,KY,8249,273.690,37.05112,-89.00917
1105,26.42,21139.0,LIVINGSTON,KY,9519,342.334,37.20951,-88.36342
1115,26.404999999999998,21159.0,MARTIN,KY,12929,230.599,37.79677,-82.50662
2558,26.35,47177.0,WARREN,TN,39839,434.035,35.67828,-85.77736
2517,26.35,47095.0,LAKE,TN,7832,193.893,36.3339,-89.48553
497,26.32,13135.0,GWINNETT,GA,805321,436.775,33.9591,-84.02293
3042,26.27,54015.0,CLAY,WV,9386,343.816,38.45982,-81.08186
1112,26.195,21153.0,MAGOFFIN,KY,13333,309.158,37.69895,-83.06971
478,26.105,13097.0,DOUGLAS,GA,132403,201.026,33.69931,-84.76594
2941,26.1,51167.0,RUSSELL,VA,28897,476.754,36.93342,-82.09593
3044,26.095,54019.0,FAYETTE,WV,46039,668.348,38.03093,-81.08605
1057,26.005000000000003,21043.0,CARTER,KY,27720,412.122,38.30955,-83.04882
1124,25.9,21177.0,MUHLENBERG,KY,31499,479.400,37.21381,-87.13409
